success,rewards,steps,resources,epsilon,first_success,PGF,I_op
0.0,-24.81,24.0,2.0,0.8866535105013078,3.0,2.85,0.4
0.0,-25.6,24.0,0.0,0.7861544476842928,3.0,0.1,0.3
1.0,37.6,12.0,3.0,0.7402609576967045,3.0,3.225,0.6000000000000001
0.0,-22.0,24.0,4.0,0.6563549768288433,3.0,3.8,0.5
0.0,-24.82,24.0,2.0,0.5819594443402982,3.0,2.85,0.4
0.0,-24.41,24.0,2.0,0.5159963842937159,3.0,2.85,0.4
1.0,37.900000000000006,10.0,3.0,0.4907693883854626,3.0,3.225,0.6000000000000001
1.0,36.150000000000006,7.0,1.0,0.4738479773082268,3.0,2.475,0.5
0.0,-24.51,24.0,2.0,0.4201389725242833,3.0,2.85,0.4
1.0,35.190000000000005,14.0,1.0,0.3916662045273781,3.0,2.475,0.5
1.0,34.220000000000006,23.0,1.0,0.3490173016974102,3.0,2.475,0.5
1.0,36.00000000000001,8.0,1.0,0.3352984938281715,3.0,2.475,0.5
1.0,34.85,9.0,0.0,0.3205083358893357,3.0,0.1,0.44999999999999996
1.0,34.800000000000004,6.0,0.0,0.3110124781665355,3.0,0.1,0.44999999999999996
1.0,36.150000000000006,7.0,1.0,0.300288969085174,3.0,2.475,0.5
1.0,38.400000000000006,10.0,4.0,0.285607880564032,3.0,3.8,0.6499999999999999
1.0,36.3,6.0,1.0,0.2771460357548443,3.0,2.475,0.5
1.0,35.150000000000006,7.0,0.0,0.2675902197027017,3.0,0.1,0.44999999999999996
1.0,37.290000000000006,6.0,2.0,0.2596621929721051,3.0,2.85,0.55
1.0,34.45,11.0,1.0,0.2457325055235537,3.0,2.475,0.5
1.0,36.650000000000006,7.0,2.0,0.2372598076752167,3.0,2.85,0.55
1.0,36.150000000000006,7.0,1.0,0.2290792429684691,3.0,2.475,0.5
1.0,36.150000000000006,7.0,1.0,0.2211807388415433,3.0,2.475,0.5
1.0,35.300000000000004,6.0,0.0,0.2146277085709411,3.0,0.1,0.44999999999999996
1.0,36.3,6.0,1.0,0.2082688281433694,3.0,2.475,0.5
1.0,36.25000000000001,13.0,2.0,0.1951301251563816,3.0,2.85,0.55
1.0,35.300000000000004,6.0,0.0,0.1893489091990002,3.0,0.1,0.44999999999999996
1.0,35.7,8.0,1.0,0.1819061798760765,3.0,2.475,0.5
1.0,34.800000000000004,6.0,0.0,0.1765167562337606,3.0,0.1,0.44999999999999996
1.0,36.3,6.0,1.0,0.1712870076899825,3.0,2.475,0.5
1.0,36.3,6.0,1.0,0.1662122034722543,3.0,2.475,0.5
1.0,37.00000000000001,8.0,2.0,0.1596789076331397,3.0,2.85,0.55
1.0,37.05,9.0,2.0,0.1526354036900377,3.0,2.85,0.55
1.0,35.150000000000006,7.0,0.0,0.1473726336968319,3.0,0.1,0.44999999999999996
1.0,36.2,8.0,1.0,0.1415798640059374,3.0,2.475,0.5
1.0,36.3,6.0,1.0,0.1373852079097603,3.0,2.475,0.5
1.0,36.3,6.0,1.0,0.1333148289478264,3.0,2.475,0.5
1.0,35.150000000000006,7.0,0.0,0.1287182198750011,3.0,0.1,0.44999999999999996
1.0,36.3,6.0,1.0,0.1249046220199763,3.0,2.475,0.5
1.0,35.300000000000004,6.0,0.0,0.1212040114997203,3.0,0.1,0.44999999999999996
1.0,37.05,9.0,2.0,0.1158576514477124,3.0,2.85,0.55
1.0,35.00000000000001,8.0,0.0,0.111303639790805,3.0,0.1,0.44999999999999996
1.0,36.00000000000001,24.0,3.0,0.1,3.0,3.225,0.6000000000000001
1.0,33.50000000000001,18.0,0.0,0.1,3.0,0.1,0.44999999999999996
1.0,36.85,9.0,2.0,0.1,3.0,2.85,0.55
1.0,36.150000000000006,7.0,1.0,0.1,3.0,2.475,0.5
1.0,36.00000000000001,8.0,1.0,0.1,3.0,2.475,0.5
1.0,33.95,21.0,1.0,0.1,3.0,2.475,0.5
1.0,35.00000000000001,8.0,0.0,0.1,3.0,0.1,0.44999999999999996
0.0,-25.61,24.0,1.0,0.1,3.0,2.475,0.35
1.0,34.400000000000006,20.0,1.0,0.1,3.0,2.475,0.5
1.0,34.45,11.0,0.0,0.1,3.0,0.1,0.44999999999999996
1.0,34.64000000000001,17.0,1.0,0.1,3.0,2.475,0.5
1.0,35.25000000000001,13.0,1.0,0.1,3.0,2.475,0.5
1.0,33.800000000000004,24.0,1.0,0.1,3.0,2.475,0.5
1.0,34.95,19.0,1.0,0.1,3.0,2.475,0.5
0.0,-25.6,24.0,1.0,0.1,3.0,2.475,0.35
1.0,35.85,9.0,1.0,0.1,3.0,2.475,0.5
1.0,36.3,24.0,3.0,0.1,3.0,3.225,0.6000000000000001
1.0,34.64000000000001,7.0,0.0,0.1,3.0,0.1,0.44999999999999996
0.0,-26.6,24.0,0.0,0.1,3.0,0.1,0.3
0.0,-25.4,24.0,1.0,0.1,3.0,2.475,0.35
0.0,-22.6,24.0,3.0,0.1,3.0,3.225,0.45000000000000007
0.0,-26.2,24.0,0.0,0.1,3.0,0.1,0.3
0.0,-22.4,24.0,4.0,0.1,3.0,3.8,0.5
0.0,-23.8,24.0,2.0,0.1,3.0,2.85,0.4
0.0,-23.2,24.0,3.0,0.1,3.0,3.225,0.45000000000000007
0.0,-26.8,24.0,0.0,0.1,3.0,0.1,0.3
0.0,-23.2,24.0,3.0,0.1,3.0,3.225,0.45000000000000007
1.0,34.45,13.0,0.0,0.1,3.0,0.1,0.44999999999999996
0.0,-24.2,24.0,1.0,0.1,3.0,2.475,0.35
0.0,-24.0,24.0,1.0,0.1,3.0,2.475,0.35
0.0,-25.6,24.0,1.0,0.1,3.0,2.475,0.35
0.0,-25.6,24.0,1.0,0.1,3.0,2.475,0.35
1.0,35.650000000000006,7.0,1.0,0.1,3.0,2.475,0.5
0.0,-22.2,24.0,3.0,0.1,3.0,3.225,0.45000000000000007
0.0,-26.6,24.0,0.0,0.1,3.0,0.1,0.3
0.0,-24.2,24.0,2.0,0.1,3.0,2.85,0.4
0.0,-25.2,24.0,1.0,0.1,3.0,2.475,0.35
0.0,-24.2,24.0,2.0,0.1,3.0,2.85,0.4
0.0,-24.6,24.0,2.0,0.1,3.0,2.85,0.4
0.0,-23.6,24.0,2.0,0.1,3.0,2.85,0.4
1.0,35.790000000000006,6.0,1.0,0.1,3.0,2.475,0.5
1.0,35.400000000000006,10.0,1.0,0.1,3.0,2.475,0.5
0.0,-22.4,24.0,4.0,0.1,3.0,3.8,0.5
0.0,-27.4,24.0,0.0,0.1,3.0,0.1,0.3
0.0,-26.4,24.0,0.0,0.1,3.0,0.1,0.3
0.0,-26.0,24.0,1.0,0.1,3.0,2.475,0.35
0.0,-24.93,24.0,2.0,0.1,3.0,2.85,0.4
0.0,-27.4,24.0,0.0,0.1,3.0,0.1,0.3
0.0,-24.8,24.0,2.0,0.1,3.0,2.85,0.4
0.0,-22.0,24.0,3.0,0.1,3.0,3.225,0.45000000000000007
0.0,-24.61,24.0,2.0,0.1,3.0,2.85,0.4
0.0,-22.2,24.0,3.0,0.1,3.0,3.225,0.45000000000000007
0.0,-26.81,24.0,0.0,0.1,3.0,0.1,0.3
0.0,-23.0,24.0,3.0,0.1,3.0,3.225,0.45000000000000007
0.0,-22.8,24.0,2.0,0.1,3.0,2.85,0.4
1.0,33.900000000000006,22.0,1.0,0.1,3.0,2.475,0.5
0.0,-24.4,24.0,3.0,0.1,3.0,3.225,0.45000000000000007
0.0,-24.6,24.0,2.0,0.1,3.0,2.85,0.4
1.0,37.00000000000001,8.0,2.0,0.1,3.0,2.85,0.55
0.0,-24.0,24.0,2.0,0.1,3.0,2.85,0.4
0.0,-25.8,24.0,1.0,0.1,3.0,2.475,0.35
0.0,-25.11,24.0,2.0,0.1,3.0,2.85,0.4
0.0,-27.0,24.0,0.0,0.1,3.0,0.1,0.3
0.0,-25.8,24.0,1.0,0.1,3.0,2.475,0.35
0.0,-25.8,24.0,1.0,0.1,3.0,2.475,0.35
0.0,-26.0,24.0,1.0,0.1,3.0,2.475,0.35
0.0,-25.2,24.0,1.0,0.1,3.0,2.475,0.35
0.0,-27.6,24.0,0.0,0.1,3.0,0.1,0.3
