success,rewards,steps,resources,epsilon,first_success,PGF,I_op
0.0,-25.21,24.0,1.0,0.9762739865836304,2.0,2.475,0.35
1.0,36.900000000000006,18.0,3.0,0.9588496310845508,2.0,3.225,0.6000000000000001
0.0,-23.02,24.0,3.0,0.9360999518731578,2.0,3.225,0.45000000000000007
1.0,36.09,18.0,2.0,0.9193926150309796,2.0,2.85,0.55
0.0,-25.809999999999995,24.0,1.0,0.8975790935118436,2.0,2.475,0.35
0.0,-24.22,24.0,2.0,0.8762831198969288,2.0,2.85,0.4
1.0,35.49,14.0,1.0,0.8640945798906344,2.0,2.475,0.5
1.0,36.400000000000006,16.0,2.0,0.8503722756378911,2.0,2.85,0.55
0.0,-25.8,24.0,1.0,0.8301963316171974,2.0,2.475,0.35
0.0,-24.42,24.0,3.0,0.8104990823150267,2.0,3.225,0.45000000000000007
0.0,-26.71,24.0,1.0,0.7912691702140651,2.0,2.475,0.35
0.0,-22.92,24.0,3.0,0.7724955072656065,2.0,3.225,0.45000000000000007
1.0,35.050000000000004,23.0,2.0,0.7549221906868242,2.0,2.85,0.55
1.0,32.59,24.0,0.0,0.737010896662273,2.0,0.1,0.44999999999999996
1.0,36.23,21.0,2.0,0.7216874642922244,2.0,2.85,0.55
1.0,34.28,12.0,0.0,0.7130746876787832,2.0,0.1,0.44999999999999996
1.0,36.690000000000005,10.0,2.0,0.7059759437435444,2.0,2.85,0.55
0.0,-23.42,24.0,3.0,0.689225949030651,2.0,3.225,0.45000000000000007
1.0,34.95,15.0,1.0,0.6789596158607596,2.0,2.475,0.5
1.0,36.620000000000005,17.0,3.0,0.6675091808180759,2.0,3.225,0.6000000000000001
1.0,36.150000000000006,7.0,1.0,0.662850610905674,2.0,2.475,0.5
0.0,-25.18,24.0,2.0,0.647123808418277,2.0,2.85,0.4
1.0,34.68000000000001,20.0,2.0,0.6343035511776761,2.0,2.85,0.55
0.0,-25.2,24.0,1.0,0.6192540566123834,2.0,2.475,0.35
1.0,38.05,9.0,3.0,0.6137030113095173,2.0,3.225,0.6000000000000001
1.0,36.09,10.0,1.0,0.6075935243162931,2.0,2.475,0.5
1.0,36.00000000000001,8.0,1.0,0.6027497547577038,2.0,2.475,0.5
1.0,33.95,13.0,0.0,0.5949608504704863,2.0,0.1,0.44999999999999996
1.0,36.27,18.0,2.0,0.584342100499579,2.0,2.85,0.55
1.0,38.50000000000001,18.0,4.0,0.5739128719918999,2.0,3.8,0.6499999999999999
1.0,36.55,11.0,2.0,0.5676313011014509,2.0,2.85,0.55
1.0,35.650000000000006,15.0,2.0,0.5591761753724176,2.0,2.85,0.55
0.0,-23.47,24.0,3.0,0.5459091539334175,2.0,3.225,0.45000000000000007
1.0,33.75000000000001,19.0,0.0,0.5356297035976458,2.0,0.1,0.44999999999999996
0.0,-24.8,24.0,2.0,0.522921346063882,2.0,2.85,0.4
0.0,-24.2,24.0,2.0,0.5105145071914643,2.0,2.85,0.4
1.0,34.940000000000005,11.0,0.0,0.5049268418435943,2.0,0.1,0.44999999999999996
1.0,34.85,9.0,0.0,0.5004006352830107,2.0,0.1,0.44999999999999996
1.0,35.400000000000006,16.0,3.0,0.492453993878908,2.0,3.225,0.6000000000000001
1.0,36.75000000000001,11.0,2.0,0.4870640038232768,2.0,2.85,0.55
1.0,35.85,9.0,1.0,0.4826979212409374,2.0,2.475,0.5
1.0,34.800000000000004,6.0,0.0,0.4798089645355894,2.0,0.1,0.44999999999999996
0.0,-24.5,24.0,2.0,0.4684250106057235,2.0,2.85,0.4
0.0,-24.61,24.0,4.0,0.4573111525195289,2.0,3.8,0.5
1.0,38.3,6.0,3.0,0.4545741361323334,2.0,3.225,0.6000000000000001
0.0,-25.4,24.0,1.0,0.443788904079723,2.0,2.475,0.35
0.0,-25.41,24.0,1.0,0.4332595625874915,2.0,2.475,0.35
0.0,-24.21,24.0,2.0,0.4229800403927701,2.0,2.85,0.4
0.0,-23.0,24.0,3.0,0.4129444102795546,2.0,3.225,0.45000000000000007
0.0,-24.2,24.0,2.0,0.403146885661047,2.0,2.85,0.4
0.0,-25.6,24.0,0.0,0.3935818172430853,2.0,0.1,0.3
0.0,-24.0,24.0,2.0,0.3842436897667367,2.0,2.85,0.4
0.0,-25.6,24.0,0.0,0.3751271188281757,2.0,0.1,0.3
0.0,-26.4,24.0,0.0,0.3662268477740143,2.0,0.1,0.3
1.0,37.24,13.0,3.0,0.3614943599675815,2.0,3.225,0.6000000000000001
0.0,-24.61,24.0,1.0,0.352917539933049,2.0,2.475,0.35
0.0,-25.11,24.0,1.0,0.3445442136457252,2.0,2.475,0.35
0.0,-24.71,24.0,1.0,0.3363695530102342,2.0,2.475,0.35
0.0,-22.4,24.0,3.0,0.3283888444826551,2.0,3.225,0.45000000000000007
0.0,-25.9,24.0,1.0,0.3205974863526735,2.0,2.475,0.35
1.0,36.00000000000001,8.0,1.0,0.3180416652604345,2.0,2.475,0.5
0.0,-25.1,24.0,1.0,0.3104958044435009,2.0,2.475,0.35
0.0,-24.0,24.0,2.0,0.3031289768215478,2.0,2.85,0.4
0.0,-25.6,24.0,1.0,0.2959369346505893,2.0,2.475,0.35
1.0,36.150000000000006,7.0,1.0,0.2938715804362218,2.0,2.475,0.5
0.0,-25.4,24.0,1.0,0.2868991793761022,2.0,2.475,0.35
1.0,35.7,24.0,4.0,0.2800922055970794,2.0,3.8,0.6499999999999999
