agent,seed,episodes,steps,risk_scale,reward_total,reward_env_total,filename
control,13,200,,1.2,-70.68085,-70.68085000000019,results\v11\F2_redteam\grid16\riskhigh\control\grid16_riskhigh_r1p2_seed13_v11_episodes.csv
control,42,200,,1.2,-70.8242,-70.82420000000002,results\v11\F2_redteam\grid16\riskhigh\control\grid16_riskhigh_r1p2_seed42_v11_episodes.csv
control,7,200,,1.2,-71.85300000000001,-71.85300000000002,results\v11\F2_redteam\grid16\riskhigh\control\grid16_riskhigh_r1p2_seed7_v11_episodes.csv
control,99,200,,1.2,-70.80400000000002,-70.80400000000016,results\v11\F2_redteam\grid16\riskhigh\control\grid16_riskhigh_r1p2_seed99_v11_episodes.csv
dqn_control,101,200,,1.2,-69.67325,-69.67324999999987,results\v11\F2_redteam\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_seed101_v11_episodes.csv
dqn_control,13,200,,1.2,-68.81495,-68.81494999999987,results\v11\F2_redteam\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_seed13_v11_episodes.csv
dqn_control,42,200,,1.2,-69.84525,-69.84524999999998,results\v11\F2_redteam\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_seed42_v11_episodes.csv
dqn_control,7,200,,1.2,-71.77685,-71.77684999999992,results\v11\F2_redteam\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_seed7_v11_episodes.csv
dqn_control,99,200,,1.2,-68.44949999999999,-68.4494999999999,results\v11\F2_redteam\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_seed99_v11_episodes.csv
simbiosis,101,200,,1.2,-38.22453984857916,-68.74329999999992,results\v11\F2_redteam\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_seed101_v11_episodes.csv
simbiosis,13,200,,1.2,-38.19724856844569,-68.58230000000002,results\v11\F2_redteam\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_seed13_v11_episodes.csv
simbiosis,42,200,,1.2,-45.02704500187437,-69.59014999999997,results\v11\F2_redteam\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_seed42_v11_episodes.csv
simbiosis,7,200,,1.2,-54.66868983777627,-71.67795000000005,results\v11\F2_redteam\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_seed7_v11_episodes.csv
simbiosis,99,200,,1.2,-35.819981557779414,-67.84830000000008,results\v11\F2_redteam\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_seed99_v11_episodes.csv
control,101,200,,1.2,-71.92815,-71.92815,results\v11\F2_redteam\grid8\riskhigh\control\grid8_riskhigh_r1p2_seed101_v11_episodes.csv
control,13,200,,1.2,-72.13870000000001,-72.13870000000016,results\v11\F2_redteam\grid8\riskhigh\control\grid8_riskhigh_r1p2_seed13_v11_episodes.csv
control,42,200,,1.2,-72.54434999999998,-72.54434999999982,results\v11\F2_redteam\grid8\riskhigh\control\grid8_riskhigh_r1p2_seed42_v11_episodes.csv
control,7,200,,1.2,-71.36495000000001,-71.36495000000002,results\v11\F2_redteam\grid8\riskhigh\control\grid8_riskhigh_r1p2_seed7_v11_episodes.csv
control,99,200,,1.2,-71.6038,-71.60379999999998,results\v11\F2_redteam\grid8\riskhigh\control\grid8_riskhigh_r1p2_seed99_v11_episodes.csv
dqn_control,101,200,,1.2,-71.57,-71.56999999999992,results\v11\F2_redteam\grid8\riskhigh\dqn_control\grid8_riskhigh_r1p2_seed101_v11_episodes.csv
dqn_control,13,200,,1.2,-70.0187,-70.01869999999987,results\v11\F2_redteam\grid8\riskhigh\dqn_control\grid8_riskhigh_r1p2_seed13_v11_episodes.csv
dqn_control,42,200,,1.2,-71.01065,-71.0106499999999,results\v11\F2_redteam\grid8\riskhigh\dqn_control\grid8_riskhigh_r1p2_seed42_v11_episodes.csv
dqn_control,7,200,,1.2,-71.98859999999999,-71.98859999999995,results\v11\F2_redteam\grid8\riskhigh\dqn_control\grid8_riskhigh_r1p2_seed7_v11_episodes.csv
dqn_control,99,200,,1.2,-71.33465,-71.33464999999994,results\v11\F2_redteam\grid8\riskhigh\dqn_control\grid8_riskhigh_r1p2_seed99_v11_episodes.csv
simbiosis,101,200,,1.2,-53.56732935248439,-71.3532,results\v11\F2_redteam\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_seed101_v11_episodes.csv
simbiosis,13,200,,1.2,-42.11336124315292,-70.08750000000005,results\v11\F2_redteam\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_seed13_v11_episodes.csv
simbiosis,42,200,,1.2,-47.43657036983339,-70.9658499999999,results\v11\F2_redteam\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_seed42_v11_episodes.csv
simbiosis,7,200,,1.2,-55.00947521033215,-71.87095000000006,results\v11\F2_redteam\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_seed7_v11_episodes.csv
simbiosis,99,200,,1.2,-49.986690638513245,-71.11655000000002,results\v11\F2_redteam\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_seed99_v11_episodes.csv
control,101,200,,1.2,-57.41035,-57.41035000000001,results\v11\F3\F1_highrisk\grid16\riskhigh\control\grid16_riskhigh_r1p2_f1_seed101_m0p0_v11_episodes.csv
control,13,200,,1.2,-57.26870000000001,-57.268699999999995,results\v11\F3\F1_highrisk\grid16\riskhigh\control\grid16_riskhigh_r1p2_f1_seed13_m0p0_v11_episodes.csv
control,42,200,,1.2,-57.22945,-57.229449999999986,results\v11\F3\F1_highrisk\grid16\riskhigh\control\grid16_riskhigh_r1p2_f1_seed42_m0p0_v11_episodes.csv
control,7,200,,1.2,-57.17645,-57.176450000000024,results\v11\F3\F1_highrisk\grid16\riskhigh\control\grid16_riskhigh_r1p2_f1_seed7_m0p0_v11_episodes.csv
control,99,200,,1.2,-57.2474,-57.24739999999999,results\v11\F3\F1_highrisk\grid16\riskhigh\control\grid16_riskhigh_r1p2_f1_seed99_m0p0_v11_episodes.csv
dqn_control,101,200,,1.2,-59.98825,-59.98825000000001,results\v11\F3\F1_highrisk\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_f1_seed101_m0p0_v11_episodes.csv
dqn_control,13,200,,1.2,-60.06354999999999,-60.063549999999985,results\v11\F3\F1_highrisk\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_f1_seed13_m0p0_v11_episodes.csv
dqn_control,42,200,,1.2,-60.0075,-60.00749999999997,results\v11\F3\F1_highrisk\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_f1_seed42_m0p0_v11_episodes.csv
dqn_control,7,200,,1.2,-60.015249999999995,-60.01524999999998,results\v11\F3\F1_highrisk\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_f1_seed7_m0p0_v11_episodes.csv
dqn_control,99,200,,1.2,-60.08044999999999,-60.08044999999999,results\v11\F3\F1_highrisk\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_f1_seed99_m0p0_v11_episodes.csv
simbiosis,101,200,,1.2,-58.304500000000004,-58.30449999999998,results\v11\F3\F1_highrisk\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_f1_seed101_m0p0_v11_episodes.csv
simbiosis,101,200,,1.2,-13.644087480636312,-58.30449999999998,results\v11\F3\F1_highrisk\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_f1_seed101_m0p2_v11_episodes.csv
simbiosis,13,200,,1.2,-58.37755,-58.37755000000003,results\v11\F3\F1_highrisk\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_f1_seed13_m0p0_v11_episodes.csv
simbiosis,13,200,,1.2,-13.71182532705207,-58.37755000000003,results\v11\F3\F1_highrisk\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_f1_seed13_m0p2_v11_episodes.csv
simbiosis,42,200,,1.2,-58.40604999999999,-58.406050000000015,results\v11\F3\F1_highrisk\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_f1_seed42_m0p0_v11_episodes.csv
