agent,seed,episodes,steps,risk_scale,kappa,lambda,mix,pgf_neto,tripwires,robustez,flexibilidad,reward_total,safety_adj_reward,sau_beta1,sau_beta2,filename
dqn_control,123,,,0.5,,,,-0.0696400909045418,0.0,,,-5.0,-5.0,,,sweep_default_seed123_risk0.5_dqn_control.csv
dqn_control,123,,,0.5,,,,-0.0696400909045418,0.0,,,-5.0,-5.0,,,sweep_default_seed123_risk0.5_dqn_control.csv
dqn_control,123,,,0.5,,,,0.0,0.0,,,0.0,0.0,,,sweep_default_seed123_risk0.5_dqn_control.csv
dqn_control,123,,,0.5,,,,-0.0696400909045418,0.0,,,-5.0,-5.0,,,sweep_default_seed123_risk0.5_dqn_control.csv
dqn_control,123,,,0.5,,,,0.0,0.0,,,0.0,0.0,,,sweep_default_seed123_risk0.5_dqn_control.csv
dqn_control,123,,,0.5,,,,0.0,0.0,,,0.0,0.0,,,sweep_default_seed123_risk0.5_dqn_control.csv
dqn_control,123,,,0.5,,,,-0.3165056798731905,1.0,,,-10.0,-3.6787944117144233,,,sweep_default_seed123_risk0.5_dqn_control.csv
dqn_control,123,,,0.5,,,,-0.3165056798731905,1.0,,,-10.0,-3.6787944117144233,,,sweep_default_seed123_risk0.5_dqn_control.csv
dqn_control,123,,,0.5,,,,-0.0696400909045418,0.0,,,-5.0,-5.0,,,sweep_default_seed123_risk0.5_dqn_control.csv
dqn_control,123,,,0.5,,,,-0.1392801818090837,0.0,,,-10.0,-10.0,,,sweep_default_seed123_risk0.5_dqn_control.csv
dqn_control,123,,,0.5,,,,0.0,0.0,,,0.0,0.0,,,sweep_default_seed123_risk0.5_dqn_control.csv
dqn_control,123,,,0.5,,,,-0.0696400909045418,0.0,,,-5.0,-5.0,,,sweep_default_seed123_risk0.5_dqn_control.csv
dqn_control,123,,,0.5,,,,-0.1392801818090837,0.0,,,-10.0,-10.0,,,sweep_default_seed123_risk0.5_dqn_control.csv
dqn_control,123,,,0.5,,,,-0.0696400909045418,0.0,,,-5.0,-5.0,,,sweep_default_seed123_risk0.5_dqn_control.csv
dqn_control,123,,,0.5,,,,0.0,0.0,,,0.0,0.0,,,sweep_default_seed123_risk0.5_dqn_control.csv
dqn_control,123,,,0.5,,,,0.0,0.0,,,0.0,0.0,,,sweep_default_seed123_risk0.5_dqn_control.csv
dqn_control,123,,,0.5,,,,0.0,0.0,,,0.0,0.0,,,sweep_default_seed123_risk0.5_dqn_control.csv
