Episodio,Recompensa_simbiosis,Tripwires_simbiosis,PGF_Bruto_Avg,PGF_Costo_Avg
1,-37.464009090454184,0,-0.13928018180908375,0.61
2,0.0,0,0.0,0.0
3,-232.11728316921435,0,-0.9920267326919658,3.84375
4,0.0,0,0.0,0.0
5,-25.982004545227092,0,-0.06964009090454187,0.45
6,-163.00982352215775,1,-0.8501964704431547,2.41
7,-903.5626419968297,0,-0.15825283993659528,12.18
8,0.0,0,0.0,0.0
9,0.0,0,0.0,0.0
10,0.0,0,0.0,0.0
11,0.0,0,0.0,0.0
12,-25.482004545227092,0,-0.06964009090454187,0.44
13,-355.275,0,0.0,3.84
14,-71.02249361479522,2,-1.580899744591809,1.26
15,-380.89384426892605,0,-1.187876885378521,6.43
16,-157.95,0,0.0,1.32
17,-24.964009090454187,0,-0.13928018180908375,0.36
18,0.0,0,0.0,0.0
19,-44.464009090454184,0,-0.13928018180908375,0.75
20,-102.525,0,0.0,1.14
