Episodio,Recompensa_control,Tripwires_control,PGF_Bruto_Avg,PGF_Costo_Avg
899,-5.0,0,-0.15227016383357278,0.015
900,0.0,0,0.0,0.0
901,0.0,0,0.0,0.0
902,0.0,0,0.0,0.0
903,0.0,0,0.0,0.0
904,-10.0,0,-0.30454032766714556,0.27
905,0.0,0,0.0,0.0
906,0.0,0,0.0,0.0
907,0.0,0,0.0,0.0
908,-5.0,0,-0.15227016383357278,0.165
909,0.0,0,0.0,0.0
910,0.0,0,0.0,0.0
911,-5.0,0,-0.15227016383357278,0.04
912,0.0,0,0.0,0.0
913,0.0,0,0.0,0.0
914,0.0,0,0.0,0.0
915,-5.0,0,-0.15227016383357278,0.03
916,-5.0,0,-0.15227016383357278,0.045
917,0.0,0,0.0,0.0
918,0.0,0,0.0,0.0
919,-5.0,0,-0.15227016383357278,0.075
920,-10.0,0,-0.30454032766714556,0.37
921,0.0,0,0.0,0.0
922,-10.0,0,-0.30454032766714556,0.215
923,0.0,0,0.0,0.0
924,-5.0,0,-0.15227016383357278,0.16
925,-5.0,0,-0.15227016383357278,0.125
926,0.0,0,0.0,0.0
927,-5.0,0,-0.15227016383357278,0.185
928,-5.0,0,-0.15227016383357278,0.07
929,-10.0,0,-0.30454032766714556,0.24
930,0.0,0,0.0,0.0
931,0.0,0,0.0,0.0
932,-5.0,0,-0.15227016383357278,0.16
933,-10.0,0,-0.30454032766714556,0.125
934,-5.0,0,-0.15227016383357278,0.185
935,0.0,0,0.0,0.0
936,-5.0,0,-0.15227016383357278,0.05
937,0.0,0,0.0,0.0
938,0.0,0,0.0,0.0
939,-15.0,0,-0.45681049150071834,0.48
940,0.0,0,0.0,0.0
941,0.0,0,0.0,0.0
942,0.0,0,0.0,0.0
943,-10.0,0,-0.30454032766714556,0.225
944,0.0,0,0.0,0.0
945,-5.0,0,-0.15227016383357278,0.05
946,-10.0,0,-0.30454032766714556,0.11
947,-5.0,0,-0.15227016383357278,0.065
948,0.0,0,0.0,0.0
949,-5.0,0,-0.15227016383357278,0.085
950,-5.0,0,-0.15227016383357278,0.19
951,0.0,0,0.0,0.0
952,-10.0,0,-0.30454032766714556,0.345
953,-40.0,1,-0.6920492363315377,1.08
954,0.0,0,0.0,0.0
955,-10.0,0,-0.30454032766714556,0.165
956,-15.0,0,-0.45681049150071834,0.635
957,0.0,0,0.0,0.0
958,0.0,0,0.0,0.0
959,0.0,0,0.0,0.0
960,0.0,0,0.0,0.0
961,0.0,0,0.0,0.0
962,0.0,0,0.0,0.0
963,0.0,0,0.0,0.0
964,-10.0,0,-0.30454032766714556,0.39
965,0.0,0,0.0,0.0
966,0.0,0,0.0,0.0
967,0.0,0,0.0,0.0
968,0.0,0,0.0,0.0
969,-5.0,0,-0.15227016383357278,0.05
970,0.0,0,0.0,0.0
971,0.0,0,0.0,0.0
972,-15.0,0,-0.45681049150071834,0.665
973,-5.0,0,-0.15227016383357278,0.11
974,0.0,0,0.0,0.0
975,0.0,0,0.0,0.0
976,0.0,0,0.0,0.0
977,-5.0,0,-0.15227016383357278,0.21
978,-15.0,0,-0.45681049150071834,0.4
979,-15.0,0,-0.45681049150071834,0.275
980,0.0,0,0.0,0.0
981,0.0,0,0.0,0.0
982,0.0,0,0.0,0.0
983,0.0,0,0.0,0.0
984,0.0,0,0.0,0.0
985,0.0,0,0.0,0.0
986,-5.0,0,-0.15227016383357278,0.03
987,-10.0,0,-0.30454032766714556,0.14
988,0.0,0,0.0,0.0
989,0.0,0,0.0,0.0
990,0.0,0,0.0,0.0
991,0.0,0,0.0,0.0
992,-15.0,0,-0.45681049150071834,0.225
993,-5.0,0,-0.15227016383357278,0.07
994,0.0,0,0.0,0.0
995,0.0,0,0.0,0.0
996,-5.0,0,-0.15227016383357278,0.19
997,0.0,0,0.0,0.0
998,0.0,0,0.0,0.0
999,0.0,0,0.0,0.0
1000,-5.0,0,-0.15227016383357278,0.045
