episode,agent,total_reward,steps,resources_collected,final_resources,D_effective,rho,p_acceso,tau_consumo,cells_visited
60,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
61,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
62,PGF,2143.1750000000006,30,1,2225.975,0.08750000000000001,0.05,0.4375,4.0,7
63,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
64,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
65,PGF,2057.3750000000005,30,0,2139.975,0.4,0.05,0.5,1.0,8
66,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
67,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
68,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
69,PGF,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
70,PGF,2144.1750000000006,30,2,2226.975,0.23333333333333336,0.05,0.4375,1.5,7
71,PGF,2059.1750000000006,30,2,2141.975,0.35000000000000003,0.05,0.4375,1.0,7
72,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
73,PGF,2143.1750000000006,30,1,2225.975,0.17500000000000002,0.05,0.4375,2.0,7
74,PGF,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
75,PGF,2143.1750000000006,30,1,2225.975,0.11666666666666668,0.05,0.4375,3.0,7
76,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
77,PGF,2143.1750000000006,30,1,2225.975,0.17500000000000002,0.05,0.4375,2.0,7
78,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
79,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
80,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
81,PGF,2144.1750000000006,30,2,2226.975,0.17500000000000002,0.05,0.4375,2.0,7
82,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
83,PGF,2143.1750000000006,30,1,2225.975,0.17500000000000002,0.05,0.4375,2.0,7
84,PGF,2057.3750000000005,30,0,2139.975,0.35000000000000003,0.05,0.4375,1.0,7
85,PGF,2143.1750000000006,30,1,2225.975,0.08750000000000001,0.05,0.4375,4.0,7
86,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
87,PGF,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
88,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
89,PGF,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
90,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
91,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
92,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
93,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
94,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
95,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
96,PGF,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
97,PGF,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
98,PGF,2057.3750000000005,30,0,2139.975,0.35000000000000003,0.05,0.4375,1.0,7
99,PGF,2143.1750000000006,30,1,2225.975,0.17500000000000002,0.05,0.4375,2.0,7
100,PGF,2143.1750000000006,30,1,2225.975,0.17500000000000002,0.05,0.4375,2.0,7
1,Control,19.590000000000003,30,1,100.99,0.35000000000000003,0.05,0.4375,1.0,7
2,Control,784.3900000000001,30,2,866.99,0.16,0.05,0.5,2.5,8
3,Control,18.6,30,1,101.0,0.1,0.05,0.25,2.0,4
4,Control,19.0,30,1,101.0,0.15000000000000002,0.05,0.375,2.0,6
5,Control,17.800000000000004,30,0,100.0,0.25,0.05,0.3125,1.0,5
6,Control,18.990000000000002,30,1,100.99,0.15000000000000002,0.05,0.375,2.0,6
7,Control,1377.1900000000003,30,0,1459.99,0.35000000000000003,0.05,0.4375,1.0,7
8,Control,1123.1900000000003,30,1,1205.99,0.17500000000000002,0.05,0.4375,2.0,7
9,Control,1123.3750000000002,30,1,1205.975,0.17500000000000002,0.05,0.4375,2.0,7
10,Control,18.000000000000004,30,0,100.0,0.30000000000000004,0.05,0.375,1.0,6
11,Control,1548.2000000000005,30,1,1631.0,0.17500000000000002,0.05,0.4375,2.0,7
12,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
13,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
14,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
15,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
16,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
17,Control,2143.1750000000006,30,1,2225.975,0.11666666666666668,0.05,0.4375,3.0,7
18,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
19,Control,2143.1750000000006,30,1,2225.975,0.17500000000000002,0.05,0.4375,2.0,7
20,Control,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
21,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
22,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
23,Control,1548.1750000000006,30,0,1629.975,0.4,0.05,0.5,1.0,8
24,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
25,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
26,Control,2143.1750000000006,30,1,2225.975,0.08750000000000001,0.05,0.4375,4.0,7
27,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
28,Control,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
29,Control,1973.3600000000006,30,1,2055.96,0.35000000000000003,0.05,0.4375,1.0,7
30,Control,2143.1750000000006,30,1,2225.975,0.17500000000000002,0.05,0.4375,2.0,7
31,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
32,Control,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
33,Control,2143.1750000000006,30,1,2225.975,0.17500000000000002,0.05,0.4375,2.0,7
34,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
35,Control,2143.1900000000005,30,1,2225.99,0.17500000000000002,0.05,0.4375,2.0,7
36,Control,2059.3750000000005,30,2,2141.975,0.11666666666666668,0.05,0.4375,3.0,7
37,Control,2058.1750000000006,30,0,2139.975,0.35000000000000003,0.05,0.4375,1.0,7
38,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
39,Control,2057.3750000000005,30,0,2139.975,0.35000000000000003,0.05,0.4375,1.0,7
40,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
41,Control,2057.3750000000005,30,0,2139.975,0.35000000000000003,0.05,0.4375,1.0,7
42,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
43,Control,2057.3750000000005,30,0,2139.975,0.4,0.05,0.5,1.0,8
44,Control,1973.3650000000007,30,1,2055.965,0.35000000000000003,0.05,0.4375,1.0,7
45,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
46,Control,2143.1750000000006,30,1,2225.975,0.17500000000000002,0.05,0.4375,2.0,7
47,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
48,Control,2143.1900000000005,30,1,2225.99,0.11666666666666668,0.05,0.4375,3.0,7
49,Control,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
50,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
51,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
52,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
53,Control,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
54,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
55,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
56,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
57,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
58,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
59,Control,2057.3750000000005,30,0,2139.975,0.4,0.05,0.5,1.0,8
60,Control,2058.3750000000005,30,1,2140.975,0.2,0.05,0.5,2.0,8
61,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
62,Control,2142.1900000000005,30,0,2224.99,0.35000000000000003,0.05,0.4375,1.0,7
63,Control,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
64,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
65,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
66,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
67,Control,2143.1750000000006,30,1,2225.975,0.35000000000000003,0.05,0.4375,1.0,7
68,Control,2143.1750000000006,30,1,2225.975,0.17500000000000002,0.05,0.4375,2.0,7
69,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
70,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
71,Control,2058.3750000000005,30,1,2140.975,0.17500000000000002,0.05,0.4375,2.0,7
72,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
73,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
74,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
75,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
76,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
77,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
78,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
79,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
80,Control,2144.1750000000006,30,2,2226.975,0.14,0.05,0.4375,2.5,7
81,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
82,Control,2143.1750000000006,30,1,2225.975,0.17500000000000002,0.05,0.4375,2.0,7
83,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
84,Control,2144.1750000000006,30,2,2226.975,0.35000000000000003,0.05,0.4375,1.0,7
85,Control,2144.1750000000006,30,2,2226.975,0.17500000000000002,0.05,0.4375,2.0,7
86,Control,2144.1750000000006,30,2,2226.975,0.1,0.05,0.4375,3.5,7
87,Control,2058.3750000000005,30,1,2140.975,0.11666666666666668,0.05,0.4375,3.0,7
88,Control,2143.1750000000006,30,1,2225.975,0.17500000000000002,0.05,0.4375,2.0,7
89,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
90,Control,2144.1750000000006,30,2,2226.975,0.14,0.05,0.4375,2.5,7
91,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
92,Control,1972.3750000000007,30,0,2054.975,0.45,0.05,0.5625,1.0,9
93,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
94,Control,2143.1750000000006,30,1,2225.975,0.17500000000000002,0.05,0.4375,2.0,7
95,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
96,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
97,Control,1972.3600000000006,30,0,2054.96,0.35000000000000003,0.05,0.4375,1.0,7
98,Control,2144.1750000000006,30,2,2226.975,0.11666666666666668,0.05,0.4375,3.0,7
99,Control,1802.5450000000005,30,0,1884.945,0.35000000000000003,0.05,0.4375,1.0,7
100,Control,2142.1750000000006,30,0,2224.975,0.35000000000000003,0.05,0.4375,1.0,7
