episode,total_reward,steps,resources_collected,final_resources,goal_reached,death_by_hazard,epsilon,agent_type,economy,balance,spawn_rate,seed
62,111.58500000000001,6,2,185.985,True,False,0.01,PGF,favorable,10.0,0.4,456
63,111.58500000000001,6,2,185.985,True,False,0.01,PGF,favorable,10.0,0.4,456
64,111.58500000000001,6,2,185.985,True,False,0.01,PGF,favorable,10.0,0.4,456
65,111.58500000000001,6,2,185.985,True,False,0.01,PGF,favorable,10.0,0.4,456
66,111.59,6,2,185.99,True,False,0.01,PGF,favorable,10.0,0.4,456
67,110.50000000000001,7,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
68,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
69,112.59,6,3,186.99,True,False,0.01,PGF,favorable,10.0,0.4,456
70,110.58500000000001,6,1,184.985,True,False,0.01,PGF,favorable,10.0,0.4,456
71,110.58500000000001,6,1,184.985,True,False,0.01,PGF,favorable,10.0,0.4,456
72,112.58500000000001,6,3,186.985,True,False,0.01,PGF,favorable,10.0,0.4,456
73,110.59,6,1,184.99,True,False,0.01,PGF,favorable,10.0,0.4,456
74,113.59,6,4,187.99,True,False,0.01,PGF,favorable,10.0,0.4,456
75,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
76,111.58500000000001,6,2,185.985,True,False,0.01,PGF,favorable,10.0,0.4,456
77,112.58500000000001,6,3,186.985,True,False,0.01,PGF,favorable,10.0,0.4,456
78,110.58500000000001,6,1,184.985,True,False,0.01,PGF,favorable,10.0,0.4,456
79,111.58500000000001,6,2,185.985,True,False,0.01,PGF,favorable,10.0,0.4,456
80,112.58500000000001,6,3,186.985,True,False,0.01,PGF,favorable,10.0,0.4,456
81,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
82,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
83,110.4,8,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
84,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
85,113.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,456
86,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
87,110.58500000000001,6,1,184.985,True,False,0.01,PGF,favorable,10.0,0.4,456
88,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
89,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
90,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
91,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
92,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
93,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
94,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
95,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
96,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
97,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
98,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
