episode,stage,shaping_scale_current,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,spawn_rate,seed,grid_size
62,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
63,,1.0,DirectoS1,19.189999999999998,-80.80999999999999,1,0,30,False,0,0,0.01,0.25,456,8
64,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
65,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
66,,1.0,DirectoS1,20.38,-179.62000000000006,2,0,30,False,0,0,0.01,0.25,456,8
67,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
68,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
69,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
70,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
71,,1.0,DirectoS1,20.389999999999997,-79.61000000000003,1,0,30,False,0,0,0.01,0.25,456,8
72,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
73,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
74,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
75,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
76,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
77,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
78,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
79,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
80,,1.0,DirectoS1,20.389999999999997,-79.61000000000001,1,0,30,False,0,0,0.01,0.25,456,8
81,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
82,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
83,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
84,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
85,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
86,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
87,,1.0,DirectoS1,20.189999999999998,-79.81000000000006,1,0,30,False,0,0,0.01,0.25,456,8
88,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
89,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
90,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
91,,1.0,DirectoS1,20.189999999999998,-79.81000000000006,1,0,30,False,0,0,0.01,0.25,456,8
92,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
93,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
94,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
95,,1.0,DirectoS1,20.189999999999998,-79.81000000000002,1,0,30,False,0,0,0.01,0.25,456,8
96,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
97,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
98,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
99,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
100,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
101,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
102,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
103,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
104,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
105,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
106,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
107,,1.0,DirectoS1,20.389999999999997,-79.61000000000006,1,0,30,False,0,0,0.01,0.25,456,8
108,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
109,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
110,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
111,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
112,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
113,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
114,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
115,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
116,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
117,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
118,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
119,,1.0,DirectoS1,20.0,20.0,0,0,30,False,0,0,0.01,0.25,456,8
120,,1.0,DirectoS1,20.189999999999998,-79.81000000000007,1,0,30,False,0,0,0.01,0.25,456,8
