episode,stage,shaping_scale_current,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,spawn_rate,seed,grid_size
1,,0.0,ControlS0,21.57,21.57,1,1,30,False,0,0,0.1720768383829392,0.25,456,4
2,,0.0,ControlS0,24.79,24.79,0,4,30,False,0,0,0.14805219153934096,0.25,456,4
3,,0.0,ControlS0,20.0,20.0,0,0,30,False,0,0,0.12738176517877567,0.25,456,4
4,,0.0,ControlS0,111.58,111.58,22,1,30,True,0,0,0.10959725709800847,0.25,456,4
5,,0.0,ControlS0,115.98,115.98,2,1,6,True,0,0,0.10635016538875826,0.25,456,4
6,,0.0,ControlS0,23.2,23.2,0,2,30,False,0,0,0.09150200110800105,0.25,456,4
7,,0.0,ControlS0,113.8,113.8,0,3,27,True,0,0,0.07991968659426536,0.25,456,4
8,,0.0,ControlS0,24.18,24.18,2,3,30,False,0,0,0.06876163496848275,0.25,456,4
9,,0.0,ControlS0,116.8,116.8,0,3,13,True,0,0,0.0644237861084092,0.25,456,4
10,,0.0,ControlS0,117.0,117.0,0,2,6,True,0,0,0.06251507098824835,0.25,456,4
11,,0.0,ControlS0,116.8,116.8,0,3,12,True,0,0,0.05886561661840586,0.25,456,4
12,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.057121576112806376,0.25,456,4
13,,0.0,ControlS0,115.59,115.59,1,1,8,True,0,0,0.05487630080963793,0.25,456,4
14,,0.0,ControlS0,22.06,22.06,14,2,30,False,0,0,0.047214701727368115,0.25,456,4
15,,0.0,ControlS0,111.0,111.0,20,0,25,True,0,0,0.04165376562867389,0.25,456,4
16,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.04041966907723405,0.25,456,4
17,,0.0,ControlS0,116.0,116.0,0,1,6,True,0,0,0.03922213570982547,0.25,456,4
18,,0.0,ControlS0,118.0,118.0,0,3,6,True,0,0,0.03806008225105534,0.25,456,4
19,,0.0,ControlS0,117.0,117.0,0,2,6,True,0,0,0.03693245752026244,0.25,456,4
20,,0.0,ControlS0,115.98,115.98,2,1,6,True,0,0,0.03583824148063075,0.25,456,4
21,,0.0,ControlS0,116.0,116.0,0,1,6,True,0,0,0.03477644431647547,0.25,456,4
22,,0.0,ControlS0,119.0,119.0,0,4,6,True,0,0,0.03374610553786674,0.25,456,4
23,,0.0,ControlS0,115.99,115.99,0,1,6,True,0,0,0.03274629311178113,0.25,456,4
24,,0.0,ControlS0,114.99,114.99,0,0,6,True,0,0,0.03177610261899486,0.25,456,4
25,,0.0,ControlS0,115.98,115.98,1,1,6,True,0,0,0.030834656435956245,0.25,456,4
26,,0.0,ControlS0,115.99,115.99,0,1,6,True,0,0,0.029921102940897188,0.25,456,4
27,,0.0,ControlS0,115.0,115.0,0,0,6,True,0,0,0.02903461574346555,0.25,456,4
28,,0.0,ControlS0,116.0,116.0,0,1,6,True,0,0,0.0281743929371816,0.25,456,4
