episode,stage,shaping_scale_current,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,spawn_rate,seed,grid_size
56,1,0.0,Curriculum,125.99,125.99,1,0,14,True,0,0,0.01,0.25,123,8
57,1,0.0,Curriculum,125.96,125.96,4,0,14,True,0,0,0.01,0.25,123,8
58,1,0.0,Curriculum,126.99,126.99,1,1,14,True,0,0,0.01,0.25,123,8
59,1,0.0,Curriculum,125.99,125.99,1,0,14,True,0,0,0.01,0.25,123,8
60,1,0.0,Curriculum,125.96,125.96,4,0,14,True,0,0,0.01,0.25,123,8
61,1,0.0,Curriculum,125.96,125.96,4,0,14,True,0,0,0.01,0.25,123,8
62,1,0.0,Curriculum,126.99,126.99,1,1,14,True,0,0,0.01,0.25,123,8
63,1,0.0,Curriculum,125.96,125.96,4,0,14,True,0,0,0.01,0.25,123,8
64,1,0.0,Curriculum,125.96,125.96,4,0,14,True,0,0,0.01,0.25,123,8
65,1,0.0,Curriculum,126.74,126.74,5,1,16,True,0,0,0.01,0.25,123,8
66,1,0.0,Curriculum,126.96,126.96,4,1,14,True,0,0,0.01,0.25,123,8
67,1,0.0,Curriculum,125.16,125.16,4,0,18,True,0,0,0.01,0.25,123,8
68,1,0.0,Curriculum,125.96,125.96,4,0,14,True,0,0,0.01,0.25,123,8
69,1,0.0,Curriculum,125.95,125.95,4,0,14,True,0,0,0.01,0.25,123,8
70,1,0.0,Curriculum,115.97,115.97,3,1,19,True,0,0,0.01,0.25,123,8
71,1,0.0,Curriculum,125.76,125.76,4,1,20,True,0,0,0.01,0.25,123,8
72,1,0.0,Curriculum,126.98,126.98,2,1,14,True,0,0,0.01,0.25,123,8
73,1,0.0,Curriculum,126.93,126.93,6,2,19,True,0,0,0.01,0.25,123,8
74,1,0.0,Curriculum,125.36,125.36,4,0,17,True,0,0,0.01,0.25,123,8
75,1,0.0,Curriculum,127.99,127.99,1,2,14,True,0,0,0.01,0.25,123,8
76,2,0.25,Curriculum,125.96,25.959999999999994,4,0,14,True,0,0,0.01,0.25,123,8
77,2,0.25,Curriculum,127.99,127.99,1,2,14,True,0,0,0.01,0.25,123,8
78,2,0.25,Curriculum,126.96,39.459999999999994,4,1,14,True,0,0,0.01,0.25,123,8
79,2,0.25,Curriculum,125.99,100.99,1,0,14,True,0,0,0.01,0.25,123,8
80,2,0.25,Curriculum,125.16,25.159999999999982,4,0,18,True,0,0,0.01,0.25,123,8
81,2,0.25,Curriculum,126.96,39.459999999999994,4,1,14,True,0,0,0.01,0.25,123,8
82,2,0.25,Curriculum,125.99,100.99,1,0,14,True,0,0,0.01,0.25,123,8
83,2,0.25,Curriculum,126.96,51.95999999999998,4,2,19,True,0,0,0.01,0.25,123,8
84,2,0.25,Curriculum,125.98,75.97999999999999,2,0,14,True,0,0,0.01,0.25,123,8
85,2,0.25,Curriculum,126.76,39.25999999999999,4,1,15,True,0,0,0.01,0.25,123,8
86,2,0.25,Curriculum,125.99,100.99,1,0,14,True,0,0,0.01,0.25,123,8
87,2,0.25,Curriculum,125.98,100.97999999999999,1,0,14,True,0,0,0.01,0.25,123,8
88,2,0.25,Curriculum,125.99,100.99,1,0,14,True,0,0,0.01,0.25,123,8
89,2,0.25,Curriculum,126.99,114.49,1,1,14,True,0,0,0.01,0.25,123,8
90,2,0.25,Curriculum,125.98,75.97999999999999,2,0,14,True,0,0,0.01,0.25,123,8
91,2,0.25,Curriculum,125.75,0.75,5,0,16,True,0,0,0.01,0.25,123,8
92,2,0.25,Curriculum,125.79,100.78999999999999,1,0,15,True,0,0,0.01,0.25,123,8
93,2,0.25,Curriculum,126.99,114.49,1,1,14,True,0,0,0.01,0.25,123,8
94,2,0.25,Curriculum,125.96,25.959999999999994,4,0,14,True,0,0,0.01,0.25,123,8
95,2,0.25,Curriculum,125.99,100.99,1,0,14,True,0,0,0.01,0.25,123,8
96,2,0.25,Curriculum,125.58,100.58,1,0,16,True,0,0,0.01,0.25,123,8
97,2,0.25,Curriculum,125.99,100.99,1,0,14,True,0,0,0.01,0.25,123,8
98,2,0.25,Curriculum,21.36,-78.64000000000007,4,0,30,False,0,0,0.01,0.25,123,8
