episode,agent,total_reward,steps,resources_collected,final_resources,D_effective,rho,p_acceso,tau_consumo,cells_visited
68,PGF,110.385,6,1,185.985,0.8999999999999999,0.3,0.375,2.0,6
69,PGF,112.385,6,3,187.985,1.0799999999999998,0.3,0.375,1.6666666666666667,6
70,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
71,PGF,111.385,6,2,186.985,1.2,0.3,0.375,1.5,6
72,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
73,PGF,105.185,20,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
74,PGF,110.385,6,1,185.985,0.8999999999999999,0.3,0.375,2.0,6
75,PGF,17.985000000000003,30,0,99.985,1.7999999999999998,0.3,0.375,1.0,6
76,PGF,110.385,6,1,185.985,0.8999999999999999,0.3,0.375,2.0,6
77,PGF,109.08500000000001,7,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
78,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
79,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
80,PGF,110.385,6,1,185.985,1.7999999999999998,0.3,0.375,1.0,6
81,PGF,111.39,6,2,186.99,1.2,0.3,0.375,1.5,6
82,PGF,110.385,6,1,185.985,0.6,0.3,0.375,3.0,6
83,PGF,104.69000000000001,25,1,185.99,0.6,0.3,0.375,3.0,6
84,PGF,110.385,6,1,185.985,0.8999999999999999,0.3,0.375,2.0,6
85,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
86,PGF,110.385,6,1,185.985,0.8999999999999999,0.3,0.375,2.0,6
87,PGF,111.385,6,2,186.985,1.2,0.3,0.375,1.5,6
88,PGF,110.385,6,1,185.985,0.8999999999999999,0.3,0.375,2.0,6
89,PGF,110.385,6,1,185.985,0.6,0.3,0.375,3.0,6
90,PGF,110.385,6,1,185.985,0.6,0.3,0.375,3.0,6
91,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
92,PGF,110.375,6,1,185.975,1.7999999999999998,0.3,0.375,1.0,6
93,PGF,109.375,6,0,184.975,1.7999999999999998,0.3,0.375,1.0,6
94,PGF,110.375,6,1,185.975,1.7999999999999998,0.3,0.375,1.0,6
95,PGF,110.375,6,1,185.975,0.8999999999999999,0.3,0.375,2.0,6
96,PGF,110.39,6,1,185.99,0.6,0.3,0.375,3.0,6
97,PGF,109.375,6,0,184.975,1.7999999999999998,0.3,0.375,1.0,6
98,PGF,110.375,6,1,185.975,0.8999999999999999,0.3,0.375,2.0,6
99,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
100,PGF,112.385,6,3,187.985,1.0799999999999998,0.3,0.375,1.6666666666666667,6
101,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
102,PGF,110.375,6,1,185.975,0.8999999999999999,0.3,0.375,2.0,6
103,PGF,111.375,6,2,186.975,0.72,0.3,0.375,2.5,6
104,PGF,111.385,6,2,186.985,1.2,0.3,0.375,1.5,6
105,PGF,110.385,6,1,185.985,1.7999999999999998,0.3,0.375,1.0,6
106,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
107,PGF,110.385,6,1,185.985,0.8999999999999999,0.3,0.375,2.0,6
108,PGF,110.385,6,1,185.985,0.8999999999999999,0.3,0.375,2.0,6
109,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
110,PGF,111.385,6,2,186.985,0.8999999999999999,0.3,0.375,2.0,6
111,PGF,107.875,11,0,184.975,1.7999999999999998,0.3,0.375,1.0,6
112,PGF,110.385,6,1,185.985,0.6,0.3,0.375,3.0,6
113,PGF,110.375,6,1,185.975,1.7999999999999998,0.3,0.375,1.0,6
114,PGF,110.385,6,1,185.985,0.6,0.3,0.375,3.0,6
115,PGF,110.385,6,1,185.985,0.6,0.3,0.375,3.0,6
116,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
117,PGF,111.385,6,2,186.985,1.7999999999999998,0.3,0.375,1.0,6
118,PGF,111.375,6,2,186.975,0.8999999999999999,0.3,0.375,2.0,6
119,PGF,110.375,6,1,185.975,0.8999999999999999,0.3,0.375,2.0,6
120,PGF,109.375,6,0,184.975,1.7999999999999998,0.3,0.375,1.0,6
121,PGF,109.375,6,0,184.975,1.7999999999999998,0.3,0.375,1.0,6
122,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
123,PGF,110.385,6,1,185.985,0.6,0.3,0.375,3.0,6
124,PGF,110.385,6,1,185.985,0.6,0.3,0.375,3.0,6
125,PGF,110.375,6,1,185.975,0.6,0.3,0.375,3.0,6
126,PGF,111.375,6,2,186.975,1.2,0.3,0.375,1.5,6
127,PGF,109.375,6,0,184.975,1.7999999999999998,0.3,0.375,1.0,6
128,PGF,110.375,6,1,185.975,0.6,0.3,0.375,3.0,6
129,PGF,110.385,6,1,185.985,1.7999999999999998,0.3,0.375,1.0,6
130,PGF,110.375,6,1,185.975,0.8999999999999999,0.3,0.375,2.0,6
131,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
132,PGF,113.375,6,4,188.975,0.72,0.3,0.375,2.5,6
133,PGF,110.375,6,1,185.975,0.8999999999999999,0.3,0.375,2.0,6
134,PGF,111.375,6,2,186.975,0.72,0.3,0.375,2.5,6
135,PGF,110.385,6,1,185.985,1.7999999999999998,0.3,0.375,1.0,6
136,PGF,110.375,6,1,185.975,0.8999999999999999,0.3,0.375,2.0,6
137,PGF,110.385,6,1,185.985,0.6,0.3,0.375,3.0,6
138,PGF,110.385,6,1,185.985,0.6,0.3,0.375,3.0,6
139,PGF,111.375,6,2,186.975,0.72,0.3,0.375,2.5,6
140,PGF,111.375,6,2,186.975,1.2,0.3,0.375,1.5,6
141,PGF,110.385,6,1,185.985,1.7999999999999998,0.3,0.375,1.0,6
142,PGF,110.375,6,1,185.975,0.6,0.3,0.375,3.0,6
143,PGF,110.375,6,1,185.975,0.8999999999999999,0.3,0.375,2.0,6
144,PGF,111.96000000000001,8,3,187.95999999999998,1.0799999999999998,0.3,0.375,1.6666666666666667,6
145,PGF,110.97500000000001,8,2,186.975,1.4000000000000001,0.3,0.4375,1.5,7
146,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
147,PGF,110.385,6,1,185.985,0.8999999999999999,0.3,0.375,2.0,6
148,PGF,112.385,6,3,187.985,0.8999999999999999,0.3,0.375,2.0,6
149,PGF,112.385,6,3,187.985,0.8999999999999999,0.3,0.375,2.0,6
150,PGF,110.385,6,1,185.985,0.6,0.3,0.375,3.0,6
151,PGF,110.385,6,1,185.985,0.44999999999999996,0.3,0.375,4.0,6
152,PGF,109.375,6,0,184.975,1.7999999999999998,0.3,0.375,1.0,6
153,PGF,111.375,6,2,186.975,1.2,0.3,0.375,1.5,6
154,PGF,110.375,6,1,185.975,0.6,0.3,0.375,3.0,6
155,PGF,110.375,6,1,185.975,0.8999999999999999,0.3,0.375,2.0,6
156,PGF,110.375,6,1,185.975,0.8999999999999999,0.3,0.375,2.0,6
157,PGF,110.375,6,1,185.975,0.8999999999999999,0.3,0.375,2.0,6
158,PGF,109.375,6,0,184.975,1.7999999999999998,0.3,0.375,1.0,6
159,PGF,112.4,6,3,188.0,0.8999999999999999,0.3,0.375,2.0,6
160,PGF,110.385,6,1,185.985,0.8999999999999999,0.3,0.375,2.0,6
161,PGF,111.385,6,2,186.985,0.8999999999999999,0.3,0.375,2.0,6
162,PGF,110.385,6,1,185.985,0.6,0.3,0.375,3.0,6
163,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
164,PGF,110.385,6,1,185.985,0.6,0.3,0.375,3.0,6
165,PGF,109.58500000000001,10,1,185.985,2.6999999999999997,0.3,0.5625,1.0,9
166,PGF,111.385,6,2,186.985,0.8999999999999999,0.3,0.375,2.0,6
167,PGF,110.385,6,1,185.985,1.7999999999999998,0.3,0.375,1.0,6
168,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
169,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
170,PGF,112.385,6,3,187.985,1.3499999999999999,0.3,0.375,1.3333333333333333,6
171,PGF,111.385,6,2,186.985,1.7999999999999998,0.3,0.375,1.0,6
172,PGF,110.385,6,1,185.985,1.7999999999999998,0.3,0.375,1.0,6
173,PGF,110.385,6,1,185.985,0.8999999999999999,0.3,0.375,2.0,6
174,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
175,PGF,110.385,6,1,185.985,0.8999999999999999,0.3,0.375,2.0,6
176,PGF,112.385,6,3,187.985,0.7714285714285714,0.3,0.375,2.3333333333333335,6
177,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
178,PGF,112.385,6,3,187.985,1.0799999999999998,0.3,0.375,1.6666666666666667,6
179,PGF,110.385,6,1,185.985,1.7999999999999998,0.3,0.375,1.0,6
180,PGF,110.385,6,1,185.985,0.6,0.3,0.375,3.0,6
181,PGF,110.385,6,1,185.985,1.7999999999999998,0.3,0.375,1.0,6
182,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
183,PGF,110.385,6,1,185.985,0.6,0.3,0.375,3.0,6
184,PGF,111.385,6,2,186.985,1.2,0.3,0.375,1.5,6
185,PGF,110.385,6,1,185.985,1.7999999999999998,0.3,0.375,1.0,6
186,PGF,111.385,6,2,186.985,0.72,0.3,0.375,2.5,6
187,PGF,110.4,6,1,186.0,0.44999999999999996,0.3,0.375,4.0,6
188,PGF,111.4,6,2,187.0,0.72,0.3,0.375,2.5,6
189,PGF,110.4,6,1,186.0,1.7999999999999998,0.3,0.375,1.0,6
190,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
191,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
192,PGF,111.4,6,2,187.0,1.2,0.3,0.375,1.5,6
193,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
194,PGF,111.385,6,2,186.985,0.72,0.3,0.375,2.5,6
195,PGF,110.385,6,1,185.985,0.8999999999999999,0.3,0.375,2.0,6
196,PGF,110.4,6,1,186.0,1.7999999999999998,0.3,0.375,1.0,6
197,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
198,PGF,110.4,6,1,186.0,1.7999999999999998,0.3,0.375,1.0,6
199,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
200,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
201,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
202,PGF,110.4,6,1,186.0,1.7999999999999998,0.3,0.375,1.0,6
203,PGF,111.4,6,2,187.0,1.2,0.3,0.375,1.5,6
204,PGF,112.4,6,3,188.0,0.7714285714285714,0.3,0.375,2.3333333333333335,6
205,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
206,PGF,110.385,6,1,185.985,1.7999999999999998,0.3,0.375,1.0,6
207,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
208,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
209,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
210,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
211,PGF,110.4,6,1,186.0,1.7999999999999998,0.3,0.375,1.0,6
212,PGF,110.385,6,1,185.985,1.7999999999999998,0.3,0.375,1.0,6
213,PGF,110.385,6,1,185.985,0.8999999999999999,0.3,0.375,2.0,6
214,PGF,110.4,6,1,186.0,0.8999999999999999,0.3,0.375,2.0,6
215,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
216,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
217,PGF,113.4,6,4,189.0,1.0285714285714285,0.3,0.375,1.75,6
218,PGF,110.385,6,1,185.985,1.7999999999999998,0.3,0.375,1.0,6
219,PGF,110.4,6,1,186.0,0.8999999999999999,0.3,0.375,2.0,6
220,PGF,110.385,6,1,185.985,0.8999999999999999,0.3,0.375,2.0,6
