episode,stage,shaping_scale_current,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,spawn_rate,seed,grid_size
53,,1.0,DirectoS1,22.58,-27.420000000000062,1,1,30,False,0,0,0.01,0.25,42,6
54,,1.0,DirectoS1,21.6,21.6,0,0,30,False,0,0,0.01,0.25,42,6
55,,1.0,DirectoS1,25.2,125.19999999999996,0,2,30,False,0,0,0.01,0.25,42,6
56,,1.0,DirectoS1,23.2,23.2,0,0,30,False,0,0,0.01,0.25,42,6
57,,1.0,DirectoS1,24.990000000000002,124.98999999999997,0,2,30,False,0,0,0.01,0.25,42,6
58,,1.0,DirectoS1,23.2,23.2,0,0,30,False,0,0,0.01,0.25,42,6
59,,1.0,DirectoS1,26.2,176.2,0,3,30,False,0,0,0.01,0.25,42,6
60,,1.0,DirectoS1,25.2,125.19999999999996,0,2,30,False,0,0,0.01,0.25,42,6
61,,1.0,DirectoS1,24.2,74.19999999999996,0,1,30,False,0,0,0.01,0.25,42,6
62,,1.0,DirectoS1,23.2,23.2,0,0,30,False,0,0,0.01,0.25,42,6
63,,1.0,DirectoS1,22.2,22.2,0,0,30,False,0,0,0.01,0.25,42,6
64,,1.0,DirectoS1,26.400000000000002,226.4000000000001,0,4,30,False,0,0,0.01,0.25,42,6
65,,1.0,DirectoS1,25.2,125.19999999999997,0,2,30,False,0,0,0.01,0.25,42,6
66,,1.0,DirectoS1,24.8,124.79999999999997,0,2,30,False,0,0,0.01,0.25,42,6
67,,1.0,DirectoS1,25.2,125.19999999999997,0,2,30,False,0,0,0.01,0.25,42,6
68,,1.0,DirectoS1,24.2,74.19999999999999,0,1,30,False,0,0,0.01,0.25,42,6
69,,1.0,DirectoS1,23.0,23.0,0,0,30,False,0,0,0.01,0.25,42,6
70,,1.0,DirectoS1,24.6,124.59999999999995,0,2,30,False,0,0,0.01,0.25,42,6
71,,1.0,DirectoS1,25.0,124.99999999999997,0,2,30,False,0,0,0.01,0.25,42,6
72,,1.0,DirectoS1,24.0,74.0,0,1,30,False,0,0,0.01,0.25,42,6
73,,1.0,DirectoS1,24.2,74.19999999999996,0,1,30,False,0,0,0.01,0.25,42,6
74,,1.0,DirectoS1,25.0,124.99999999999996,0,2,30,False,0,0,0.01,0.25,42,6
75,,1.0,DirectoS1,22.2,22.2,0,0,30,False,0,0,0.01,0.25,42,6
76,,1.0,DirectoS1,24.2,74.19999999999999,0,1,30,False,0,0,0.01,0.25,42,6
77,,1.0,DirectoS1,25.0,124.99999999999997,0,2,30,False,0,0,0.01,0.25,42,6
78,,1.0,DirectoS1,25.0,124.99999999999999,0,2,30,False,0,0,0.01,0.25,42,6
79,,1.0,DirectoS1,24.0,74.0,0,1,30,False,0,0,0.01,0.25,42,6
80,,1.0,DirectoS1,24.2,74.19999999999996,0,1,30,False,0,0,0.01,0.25,42,6
