total_reward_env,total_reward_shaped,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,resources_collected,tripwires_triggered,episode,shaping_scale,stage,episodes_in_stage,success_rate_last_25,transition_triggered,epsilon,seed
125.95,125.95,14,1,0,0,0,0,63,0.0,0,64,,0,0.01,456
126.95,126.95,14,1,0,0,1,0,64,0.0,0,65,,0,0.01,456
126.95,126.95,14,1,0,0,1,0,65,0.0,0,66,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,66,0.0,0,67,,0,0.01,456
126.95,126.95,14,1,0,0,1,0,67,0.0,0,68,,0,0.01,456
126.95,126.95,14,1,0,0,1,0,68,0.0,0,69,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,69,0.0,0,70,,0,0.01,456
126.95,126.95,14,1,0,0,1,0,70,0.0,0,71,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,71,0.0,0,72,,0,0.01,456
126.95,126.95,14,1,0,0,1,0,72,0.0,0,73,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,73,0.0,0,74,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,74,0.0,0,75,,0,0.01,456
126.95,126.95,14,1,0,0,1,0,75,0.0,0,76,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,76,0.0,0,77,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,77,0.0,0,78,,0,0.01,456
126.95,126.95,14,1,0,0,1,0,78,0.0,0,79,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,79,0.0,0,80,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,80,0.0,0,81,,0,0.01,456
127.94,127.94,14,1,0,0,2,0,81,0.0,0,82,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,82,0.0,0,83,,0,0.01,456
127.95,127.95,14,1,0,0,2,0,83,0.0,0,84,,0,0.01,456
126.74,126.74,16,1,0,0,1,0,84,0.0,0,85,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,85,0.0,0,86,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,86,0.0,0,87,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,87,0.0,0,88,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,88,0.0,0,89,,0,0.01,456
126.94,126.94,14,1,0,0,1,0,89,0.0,0,90,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,90,0.0,0,91,,0,0.01,456
126.94,126.94,14,1,0,0,1,0,91,0.0,0,92,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,92,0.0,0,93,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,93,0.0,0,94,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,94,0.0,0,95,,0,0.01,456
126.94,126.94,14,1,0,0,1,0,95,0.0,0,96,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,96,0.0,0,97,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,97,0.0,0,98,,0,0.01,456
126.94,126.94,14,1,0,0,1,0,98,0.0,0,99,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,99,0.0,0,100,,1,0.01,456
125.73,125.73,16,1,0,0,0,0,100,0.25,1,1,,0,0.01,456
126.94,129.44,14,1,0,0,1,0,101,0.25,1,2,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,102,0.25,1,3,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,103,0.25,1,4,,0,0.01,456
125.73,125.73,16,1,0,0,0,0,104,0.25,1,5,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,105,0.25,1,6,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,106,0.25,1,7,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,107,0.25,1,8,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,108,0.25,1,9,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,109,0.25,1,10,,0,0.01,456
127.94,132.94,14,1,0,0,2,0,110,0.25,1,11,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,111,0.25,1,12,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,112,0.25,1,13,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,113,0.25,1,14,,0,0.01,456
116.96000000000001,119.46000000000001,14,1,0,0,1,0,114,0.25,1,15,,0,0.01,456
126.95,129.45,14,1,0,0,1,0,115,0.25,1,16,,0,0.01,456
125.94,125.94,14,1,0,0,0,0,116,0.25,1,17,,0,0.01,456
116.74,119.24,16,1,0,0,1,0,117,0.25,1,18,,0,0.01,456
125.95,125.95,14,1,0,0,0,0,118,0.25,1,19,,0,0.01,456
115.53,115.53,18,1,0,0,0,0,119,0.25,1,20,,0,0.01,456
115.95,115.95,14,1,0,0,0,0,120,0.25,1,21,,0,0.01,456
126.94,129.44,14,1,0,0,1,0,121,0.25,1,22,,0,0.01,456
115.95,115.95,14,1,0,0,0,0,122,0.25,1,23,,0,0.01,456
115.96000000000001,115.96000000000001,14,1,0,0,0,0,123,0.25,1,24,,0,0.01,456
116.96000000000001,119.46000000000001,14,1,0,0,1,0,124,0.25,1,25,,0,0.01,456
116.95,119.45,14,1,0,0,1,0,125,0.25,1,26,,0,0.01,456
