total_reward_env,total_reward_shaped,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,resources_collected,tripwires_triggered,episode,shaping_scale,stage,episodes_in_stage,success_rate_last_25,epsilon,seed,transition_triggered
22.26,22.26,30,0,0,0,1,0,0,0.0,0,0,,0.8603841919146962,42,0
14.960000000000003,14.960000000000003,30,0,0,0,2,0,1,0.0,0,1,,0.7402609576967045,42,0
14.370000000000008,14.370000000000008,30,0,0,0,1,0,2,0.0,0,2,,0.6369088258938781,42,0
24.270000000000003,24.270000000000003,30,0,0,0,2,0,3,0.0,0,3,,0.547986285490042,42,0
23.68,23.68,30,0,0,0,1,0,4,0.0,0,4,,0.47147873742168567,42,0
124.75,124.75,24,1,0,0,0,0,5,0.0,0,5,,0.4180382776616619,42,0
21.65,21.65,30,0,0,0,0,0,6,0.0,0,6,,0.3596735257153405,42,0
24.330000000000002,24.330000000000002,30,0,0,0,1,0,7,0.0,0,7,,0.30945741577570285,42,0
125.12,125.12,20,1,0,0,0,0,8,0.0,0,8,,0.2799384215094006,42,0
125.17,125.17,18,1,0,0,0,0,9,0.0,0,9,,0.25578670228422234,42,0
22.299999999999997,22.299999999999997,30,0,0,0,0,0,10,0.0,0,10,,0.22007483514733558,42,0
23.16,23.16,30,0,0,0,1,0,11,0.0,0,11,,0.18934890919900021,42,0
23.17,23.17,30,0,0,0,0,0,12,0.0,0,12,,0.16291280823111093,42,0
124.17,124.17,27,1,0,0,0,0,13,0.0,0,13,,0.14229132060898236,42,0
23.76,23.76,30,0,0,0,1,0,14,0.0,0,14,,0.12242520289863423,42,0
128.36,128.36,19,1,0,0,3,0,15,0.0,0,15,,0.11130363979080501,42,0
24.17,24.17,30,0,0,0,1,0,16,0.0,0,16,,0.09576389217857617,42,0
127.98,127.98,14,1,0,0,2,0,17,0.0,0,17,,0.089273984641318,42,0
124.77,124.77,26,1,0,0,1,0,18,0.0,0,18,,0.07836551983717477,42,0
122.77,122.77,30,1,0,0,0,0,19,0.0,0,19,,0.06742445445908266,42,0
115.78,115.78,15,1,0,0,0,0,20,0.0,0,20,,0.06254083169574957,42,0
125.37,125.37,22,1,0,0,1,0,21,0.0,0,21,,0.05601075525639029,42,0
114.34,114.34,23,1,0,0,0,0,22,0.0,0,22,,0.049911691230058335,42,0
123.37,123.37,28,1,0,0,0,0,23,0.0,0,23,,0.043375904776212296,42,0
23.560000000000002,23.560000000000002,30,0,0,0,1,0,24,0.0,0,24,,0.037319942779450235,42,0
126.56,126.56,17,1,0,0,1,0,25,0.0,0,25,0.48,0.034271518052411715,42,0
124.78,124.78,20,1,0,0,0,0,26,0.0,0,26,0.52,0.03100237440513238,42,0
115.95,115.95,14,1,0,0,0,0,27,0.0,0,27,0.56,0.028901347193857643,42,0
127.38,127.38,17,1,0,0,2,0,28,0.0,0,28,0.6,0.02654058308574668,42,1
115.98,115.98,14,1,0,0,0,0,29,0.25,1,0,0.64,0.024741930939380097,42,1
124.39,124.39,22,1,0,0,0,0,30,0.5,2,0,0.68,0.022158551474944856,42,1
114.77000000000001,114.77000000000001,20,1,0,0,0,0,31,0.75,3,0,0.68,0.020044857891939702,42,1
125.17,125.17,18,1,0,0,0,0,32,1.0,4,0,0.72,0.01831548549245123,42,0
124.34,124.34,22,1,0,0,0,0,33,1.0,4,1,0.76,0.0164031105360144,42,0
117.95,137.95,14,1,0,0,2,0,34,1.0,4,2,0.76,0.01529147369377279,42,0
126.98,136.98,14,1,0,0,1,0,35,1.0,4,3,0.76,0.014255172347583332,42,0
125.39,135.39000000000001,22,1,0,0,1,0,36,1.0,4,4,0.8,0.012766746905164949,42,0
117.98,137.98,14,1,0,0,2,0,37,1.0,4,5,0.84,0.01190154599194817,42,0
125.99,125.99,14,1,0,0,0,0,38,1.0,4,6,0.88,0.011094979641301777,42,0
115.98,115.98,14,1,0,0,0,0,39,1.0,4,7,0.88,0.010343074195922241,42,0
125.58,135.58,21,1,0,0,1,0,40,1.0,4,8,0.92,0.01,42,0
125.99,125.99,14,1,0,0,0,0,41,1.0,4,9,0.92,0.01,42,0
125.99,125.99,14,1,0,0,0,0,42,1.0,4,10,0.96,0.01,42,0
125.98,125.98,14,1,0,0,0,0,43,1.0,4,11,0.96,0.01,42,0
125.98,125.98,14,1,0,0,0,0,44,1.0,4,12,0.96,0.01,42,0
125.99,125.99,14,1,0,0,0,0,45,1.0,4,13,0.96,0.01,42,0
127.97,147.97,14,1,0,0,2,0,46,1.0,4,14,0.96,0.01,42,0
126.99,136.99,14,1,0,0,1,0,47,1.0,4,15,0.96,0.01,42,0
127.97,147.97,14,1,0,0,2,0,48,1.0,4,16,0.96,0.01,42,0
125.97,125.97,14,1,0,0,0,0,49,1.0,4,17,0.96,0.01,42,0
125.97,125.97,14,1,0,0,0,0,50,1.0,4,18,1.0,0.01,42,0
126.99,136.99,14,1,0,0,1,0,51,1.0,4,19,1.0,0.01,42,0
125.97,125.97,14,1,0,0,0,0,52,1.0,4,20,1.0,0.01,42,0
126.97,136.97,14,1,0,0,1,0,53,1.0,4,21,1.0,0.01,42,0
126.98,136.98,14,1,0,0,1,0,54,1.0,4,22,1.0,0.01,42,0
125.97,125.97,14,1,0,0,0,0,55,1.0,4,23,1.0,0.01,42,0
126.98,136.98,14,1,0,0,1,0,56,1.0,4,24,1.0,0.01,42,0
126.97,136.97,14,1,0,0,1,0,57,1.0,4,25,1.0,0.01,42,0
125.98,125.98,14,1,0,0,0,0,58,1.0,4,26,1.0,0.01,42,0
126.97,136.97,14,1,0,0,1,0,59,1.0,4,27,1.0,0.01,42,0
125.99,125.99,14,1,0,0,0,0,60,1.0,4,28,1.0,0.01,42,0
126.97,136.97,14,1,0,0,1,0,61,1.0,4,29,1.0,0.01,42,0
125.98,125.98,14,1,0,0,0,0,62,1.0,4,30,1.0,0.01,42,0
125.97,125.97,14,1,0,0,0,0,63,1.0,4,31,1.0,0.01,42,0
127.99,147.99,14,1,0,0,2,0,64,1.0,4,32,1.0,0.01,42,0
125.57,125.57,16,1,0,0,0,0,65,1.0,4,33,1.0,0.01,42,0
125.99,125.99,14,1,0,0,0,0,66,1.0,4,34,1.0,0.01,42,0
126.98,136.98,14,1,0,0,1,0,67,1.0,4,35,1.0,0.01,42,0
125.97,125.97,14,1,0,0,0,0,68,1.0,4,36,1.0,0.01,42,0
127.78,147.78,15,1,0,0,2,0,69,1.0,4,37,1.0,0.01,42,0
125.19,125.19,18,1,0,0,0,0,70,1.0,4,38,1.0,0.01,42,0
126.99,136.99,14,1,0,0,1,0,71,1.0,4,39,1.0,0.01,42,0
125.98,125.98,14,1,0,0,0,0,72,1.0,4,40,1.0,0.01,42,0
125.97,125.97,14,1,0,0,0,0,73,1.0,4,41,1.0,0.01,42,0
125.97,125.97,14,1,0,0,0,0,74,1.0,4,42,1.0,0.01,42,0
126.98,136.98,14,1,0,0,1,0,75,1.0,4,43,1.0,0.01,42,0
126.97,136.97,14,1,0,0,1,0,76,1.0,4,44,1.0,0.01,42,0
126.97,136.97,14,1,0,0,1,0,77,1.0,4,45,1.0,0.01,42,0
127.97,147.97,14,1,0,0,2,0,78,1.0,4,46,1.0,0.01,42,0
126.99,136.99,14,1,0,0,1,0,79,1.0,4,47,1.0,0.01,42,0
125.97,125.97,14,1,0,0,0,0,80,1.0,4,48,1.0,0.01,42,0
125.98,125.98,14,1,0,0,0,0,81,1.0,4,49,1.0,0.01,42,0
