shaping,spawn,seed,agent,n,reward_env_mean,reward_env_std,tripwires_mean,tripwires_std,success_rate
0.0,0.25,123,PGF,300,112.33916666666667,17.821777581358724,2.2533333333333334,2.312353523638452,0.9633333333333334
0.0,0.25,123,Control,300,113.0315,16.178733969613685,2.16,1.8235912233372853,0.97
0.0,0.25,42,PGF,300,112.1169,18.588773666150527,1.4566666666666668,2.796579771246544,0.96
0.0,0.25,42,Control,300,110.23116666666667,22.540475663036528,1.9633333333333334,4.621672324220289,0.94
0.0,0.25,456,PGF,300,113.94483333333332,14.222776929424485,0.8833333333333333,2.50011148023461,0.9766666666666667
0.0,0.25,456,Control,300,111.18689999999998,20.65679584961267,1.4966666666666666,3.242174353323201,0.95
0.0,0.4,123,PGF,300,108.74536666666667,25.25175870954945,2.526666666666667,1.7548658265289931,0.9233333333333333
0.0,0.4,123,Control,300,109.23356666666666,24.94881328962879,1.53,1.9446608150571474,0.9266666666666666
0.0,0.4,42,PGF,300,97.85753333333332,37.05623883645736,1.8333333333333333,1.9454661009783083,0.81
0.0,0.4,42,Control,300,112.0382,18.402156103498445,2.17,1.4287188170504301,0.96
0.0,0.4,456,PGF,300,112.41196666666666,17.0391713903912,2.81,1.9816634342277155,0.9666666666666667
0.0,0.4,456,Control,300,110.77686666666666,21.385284351743028,2.276666666666667,2.717487445344979,0.9466666666666667
0.25,0.25,123,PGF,300,21.638166666666667,1.8491421600250653,0.27,1.1200961497190252,0.0
0.25,0.25,123,Control,300,113.0315,16.178733969613685,2.16,1.8235912233372853,0.97
0.25,0.25,42,PGF,300,110.73493333333332,22.504779447682925,0.31666666666666665,0.6566273069937428,0.94
0.25,0.25,42,Control,300,110.23116666666667,22.540475663036528,1.9633333333333334,4.621672324220289,0.94
0.25,0.25,456,PGF,300,26.649966666666668,2.916777267977827,0.16333333333333333,1.092688786818255,0.0
0.25,0.25,456,Control,300,111.18689999999998,20.65679584961267,1.4966666666666666,3.242174353323201,0.95
0.25,0.4,123,PGF,300,23.9493,2.299090377783655,0.22333333333333333,0.7541117317094963,0.0
0.25,0.4,123,Control,300,109.23356666666666,24.94881328962879,1.53,1.9446608150571474,0.9266666666666666
0.25,0.4,42,PGF,300,111.83876666666669,19.888089631137092,1.2833333333333334,2.2194915403942916,0.9533333333333334
0.25,0.4,42,Control,300,112.0382,18.402156103498445,2.17,1.4287188170504301,0.96
0.25,0.4,456,PGF,300,101.5837,34.158590197160144,1.6233333333333333,1.983575254818257,0.85
0.25,0.4,456,Control,300,110.77686666666666,21.385284351743028,2.276666666666667,2.717487445344979,0.9466666666666667
0.5,0.25,123,PGF,300,21.3524,1.5952752899848104,0.26,1.1149935884753495,0.0
0.5,0.25,123,Control,300,113.0315,16.178733969613685,2.16,1.8235912233372853,0.97
0.5,0.25,42,PGF,300,107.88646666666666,27.15396290021359,0.13,0.6008077060637221,0.91
0.5,0.25,42,Control,300,110.23116666666667,22.540475663036528,1.9633333333333334,4.621672324220289,0.94
0.5,0.25,456,PGF,300,29.224466666666668,2.875590859549966,0.07666666666666666,0.5082485719855065,0.0
0.5,0.25,456,Control,300,111.18689999999998,20.65679584961267,1.4966666666666666,3.242174353323201,0.95
0.5,0.4,123,PGF,300,23.849933333333333,2.5658530749498607,0.24,0.9860566374745887,0.0
0.5,0.4,123,Control,300,109.23356666666666,24.94881328962879,1.53,1.9446608150571474,0.9266666666666666
0.5,0.4,42,PGF,300,106.8648,28.079928899184868,1.1533333333333333,1.6202591421894164,0.9033333333333333
0.5,0.4,42,Control,300,112.0382,18.402156103498445,2.17,1.4287188170504301,0.96
0.5,0.4,456,PGF,300,67.45363333333334,47.83737450778644,1.34,1.9826336324196,0.49333333333333335
0.5,0.4,456,Control,300,110.77686666666666,21.385284351743028,2.276666666666667,2.717487445344979,0.9466666666666667
1.0,0.25,123,PGF,300,20.548299999999998,0.7794750677673422,0.27666666666666667,1.2186354925768885,0.0
1.0,0.25,123,Control,300,113.0315,16.178733969613685,2.16,1.8235912233372853,0.97
1.0,0.25,42,PGF,300,109.18426666666664,25.23448751867152,0.08666666666666667,0.541726049399092,0.9233333333333333
1.0,0.25,42,Control,300,110.23116666666667,22.540475663036528,1.9633333333333334,4.621672324220289,0.94
1.0,0.25,456,PGF,300,28.09646666666666,2.892216549774848,0.10666666666666667,0.9925924077124422,0.0
1.0,0.25,456,Control,300,111.18689999999998,20.65679584961267,1.4966666666666666,3.242174353323201,0.95
1.0,0.4,123,PGF,300,23.055399999999995,5.555394995123161,0.22333333333333333,0.8656133724653625,0.0033333333333333335
1.0,0.4,123,Control,300,109.23356666666666,24.94881328962879,1.53,1.9446608150571474,0.9266666666666666
1.0,0.4,42,PGF,300,24.32096666666667,2.3717005031152536,0.25333333333333335,1.2196093824286183,0.0
1.0,0.4,42,Control,300,112.0382,18.402156103498445,2.17,1.4287188170504301,0.96
1.0,0.4,456,PGF,300,23.256899999999998,16.959018853052612,0.48,2.1349770702049713,0.03333333333333333
1.0,0.4,456,Control,300,110.77686666666666,21.385284351743028,2.276666666666667,2.717487445344979,0.9466666666666667
