episode,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,shaping_scale,spawn_rate,seed,grid_size
67,PGF,24.18,-25.820000000000075,2,3,30,False,0,0,0.01,1.0,0.4,42,4
68,PGF,23.6,173.60000000000002,0,3,30,False,0,0,0.01,1.0,0.4,42,4
69,PGF,28.0,378.00000000000006,0,7,30,False,0,0,0.01,1.0,0.4,42,4
70,PGF,23.6,173.60000000000002,0,3,30,False,0,0,0.01,1.0,0.4,42,4
71,PGF,23.6,173.6,0,3,30,False,0,0,0.01,1.0,0.4,42,4
72,PGF,24.8,224.80000000000013,0,4,30,False,0,0,0.01,1.0,0.4,42,4
73,PGF,23.6,173.59999999999997,0,3,30,False,0,0,0.01,1.0,0.4,42,4
74,PGF,22.4,122.39999999999993,0,2,30,False,0,0,0.01,1.0,0.4,42,4
75,PGF,21.2,71.19999999999999,0,1,30,False,0,0,0.01,1.0,0.4,42,4
76,PGF,22.4,122.39999999999995,0,2,30,False,0,0,0.01,1.0,0.4,42,4
77,PGF,24.8,224.80000000000013,0,4,30,False,0,0,0.01,1.0,0.4,42,4
78,PGF,24.860000000000003,-475.1399999999999,7,4,30,False,0,0,0.01,1.0,0.4,42,4
79,PGF,25.37,25.370000000000132,2,4,30,False,0,0,0.01,1.0,0.4,42,4
80,PGF,24.6,224.60000000000008,0,4,30,False,0,0,0.01,1.0,0.4,42,4
81,PGF,20.0,20.0,0,0,30,False,0,0,0.01,1.0,0.4,42,4
82,PGF,23.400000000000002,173.4,0,3,30,False,0,0,0.01,1.0,0.4,42,4
83,PGF,22.2,122.19999999999992,0,2,30,False,0,0,0.01,1.0,0.4,42,4
84,PGF,24.6,224.60000000000008,0,4,30,False,0,0,0.01,1.0,0.4,42,4
85,PGF,23.6,173.59999999999994,0,3,30,False,0,0,0.01,1.0,0.4,42,4
86,PGF,23.6,173.60000000000008,0,3,30,False,0,0,0.01,1.0,0.4,42,4
87,PGF,24.400000000000002,224.4000000000001,0,4,30,False,0,0,0.01,1.0,0.4,42,4
88,PGF,21.2,71.19999999999992,0,1,30,False,0,0,0.01,1.0,0.4,42,4
89,PGF,22.4,122.39999999999993,0,2,30,False,0,0,0.01,1.0,0.4,42,4
90,PGF,22.4,122.39999999999998,0,2,30,False,0,0,0.01,1.0,0.4,42,4
91,PGF,21.2,71.19999999999996,0,1,30,False,0,0,0.01,1.0,0.4,42,4
92,PGF,28.400000000000002,378.4000000000002,0,7,30,False,0,0,0.01,1.0,0.4,42,4
93,PGF,25.6,275.6000000000001,0,5,30,False,0,0,0.01,1.0,0.4,42,4
94,PGF,21.0,21.0,0,0,30,False,0,0,0.01,1.0,0.4,42,4
95,PGF,24.0,74.0,0,1,30,False,0,0,0.01,1.0,0.4,42,4
96,PGF,24.0,173.99999999999994,0,3,30,False,0,0,0.01,1.0,0.4,42,4
97,PGF,25.6,225.60000000000002,0,4,30,False,0,0,0.01,1.0,0.4,42,4
98,PGF,27.990000000000002,227.99000000000018,1,6,30,False,0,0,0.01,1.0,0.4,42,4
99,PGF,20.2,20.2,0,0,30,False,0,0,0.01,1.0,0.4,42,4
100,PGF,23.4,123.39999999999998,0,2,30,False,0,0,0.01,1.0,0.4,42,4
101,PGF,26.0,176.00000000000003,0,3,30,False,0,0,0.01,1.0,0.4,42,4
102,PGF,26.0,176.00000000000003,0,3,30,False,0,0,0.01,1.0,0.4,42,4
103,PGF,24.380000000000003,24.379999999999978,1,2,30,False,0,0,0.01,1.0,0.4,42,4
104,PGF,26.0,176.00000000000009,0,3,30,False,0,0,0.01,1.0,0.4,42,4
105,PGF,29.0,329.00000000000006,0,6,30,False,0,0,0.01,1.0,0.4,42,4
106,PGF,31.0,431.0000000000001,0,8,30,False,0,0,0.01,1.0,0.4,42,4
107,PGF,24.0,73.99999999999999,0,1,30,False,0,0,0.01,1.0,0.4,42,4
108,PGF,26.8,226.80000000000007,0,4,30,False,0,0,0.01,1.0,0.4,42,4
109,PGF,28.0,278.00000000000006,0,5,30,False,0,0,0.01,1.0,0.4,42,4
110,PGF,23.0,23.0,0,0,30,False,0,0,0.01,1.0,0.4,42,4
111,PGF,27.0,227.0,0,4,30,False,0,0,0.01,1.0,0.4,42,4
112,PGF,27.0,227.00000000000006,0,4,30,False,0,0,0.01,1.0,0.4,42,4
113,PGF,24.0,73.99999999999999,0,1,30,False,0,0,0.01,1.0,0.4,42,4
114,PGF,28.8,328.8000000000001,0,6,30,False,0,0,0.01,1.0,0.4,42,4
115,PGF,24.8,174.8,0,3,30,False,0,0,0.01,1.0,0.4,42,4
116,PGF,22.799999999999997,122.79999999999997,0,2,30,False,0,0,0.01,1.0,0.4,42,4
117,PGF,25.8,275.8000000000001,0,5,30,False,0,0,0.01,1.0,0.4,42,4
118,PGF,23.8,173.79999999999995,0,3,30,False,0,0,0.01,1.0,0.4,42,4
119,PGF,27.0,227.00000000000003,0,4,30,False,0,0,0.01,1.0,0.4,42,4
120,PGF,26.0,176.0,0,3,30,False,0,0,0.01,1.0,0.4,42,4
121,PGF,25.0,124.99999999999996,0,2,30,False,0,0,0.01,1.0,0.4,42,4
122,PGF,26.0,176.0,0,3,30,False,0,0,0.01,1.0,0.4,42,4
123,PGF,27.0,227.00000000000006,0,4,30,False,0,0,0.01,1.0,0.4,42,4
124,PGF,28.0,278.00000000000006,0,5,30,False,0,0,0.01,1.0,0.4,42,4
125,PGF,24.0,73.99999999999996,0,1,30,False,0,0,0.01,1.0,0.4,42,4
126,PGF,23.2,123.19999999999995,0,2,30,False,0,0,0.01,1.0,0.4,42,4
127,PGF,22.599999999999998,72.6,0,1,30,False,0,0,0.01,1.0,0.4,42,4
128,PGF,22.599999999999998,122.59999999999998,0,2,30,False,0,0,0.01,1.0,0.4,42,4
129,PGF,27.0,227.0,0,4,30,False,0,0,0.01,1.0,0.4,42,4
130,PGF,21.4,71.39999999999996,0,1,30,False,0,0,0.01,1.0,0.4,42,4
131,PGF,26.400000000000002,276.40000000000015,0,5,30,False,0,0,0.01,1.0,0.4,42,4
132,PGF,23.78,23.780000000000005,1,2,30,False,0,0,0.01,1.0,0.4,42,4
133,PGF,23.0,23.0,0,0,30,False,0,0,0.01,1.0,0.4,42,4
134,PGF,27.0,227.0,0,4,30,False,0,0,0.01,1.0,0.4,42,4
135,PGF,24.8,124.8,0,2,30,False,0,0,0.01,1.0,0.4,42,4
136,PGF,22.4,122.39999999999993,0,2,30,False,0,0,0.01,1.0,0.4,42,4
137,PGF,28.0,328.0000000000001,0,6,30,False,0,0,0.01,1.0,0.4,42,4
138,PGF,22.4,122.39999999999995,0,2,30,False,0,0,0.01,1.0,0.4,42,4
139,PGF,24.6,224.60000000000002,0,4,30,False,0,0,0.01,1.0,0.4,42,4
140,PGF,21.2,71.19999999999996,0,1,30,False,0,0,0.01,1.0,0.4,42,4
141,PGF,23.599999999999998,173.60000000000002,0,3,30,False,0,0,0.01,1.0,0.4,42,4
142,PGF,25.8,275.8000000000001,0,5,30,False,0,0,0.01,1.0,0.4,42,4
143,PGF,22.4,122.39999999999996,0,2,30,False,0,0,0.01,1.0,0.4,42,4
144,PGF,20.0,20.0,0,0,30,False,0,0,0.01,1.0,0.4,42,4
145,PGF,29.8,429.8000000000002,0,8,30,False,0,0,0.01,1.0,0.4,42,4
146,PGF,23.0,23.0,0,0,30,False,0,0,0.01,1.0,0.4,42,4
147,PGF,26.0,176.0,0,3,30,False,0,0,0.01,1.0,0.4,42,4
148,PGF,25.0,124.99999999999997,0,2,30,False,0,0,0.01,1.0,0.4,42,4
149,PGF,26.8,276.8,0,5,30,False,0,0,0.01,1.0,0.4,42,4
150,PGF,25.2,225.19999999999996,0,4,30,False,0,0,0.01,1.0,0.4,42,4
151,PGF,22.4,122.39999999999992,0,2,30,False,0,0,0.01,1.0,0.4,42,4
152,PGF,25.400000000000002,175.4000000000001,0,3,30,False,0,0,0.01,1.0,0.4,42,4
153,PGF,26.0,176.0,0,3,30,False,0,0,0.01,1.0,0.4,42,4
154,PGF,26.0,176.0,0,3,30,False,0,0,0.01,1.0,0.4,42,4
155,PGF,23.0,23.0,0,0,30,False,0,0,0.01,1.0,0.4,42,4
156,PGF,24.2,174.2000000000001,0,3,30,False,0,0,0.01,1.0,0.4,42,4
157,PGF,26.0,276.00000000000006,0,5,30,False,0,0,0.01,1.0,0.4,42,4
158,PGF,23.599999999999998,173.59999999999997,0,3,30,False,0,0,0.01,1.0,0.4,42,4
159,PGF,25.2,225.20000000000005,0,4,30,False,0,0,0.01,1.0,0.4,42,4
160,PGF,23.6,123.59999999999997,0,2,30,False,0,0,0.01,1.0,0.4,42,4
161,PGF,23.8,173.80000000000024,0,3,30,False,0,0,0.01,1.0,0.4,42,4
162,PGF,26.0,225.99999999999997,0,4,30,False,0,0,0.01,1.0,0.4,42,4
163,PGF,27.0,227.0000000000001,0,4,30,False,0,0,0.01,1.0,0.4,42,4
164,PGF,29.0,329.0000000000001,0,6,30,False,0,0,0.01,1.0,0.4,42,4
165,PGF,24.400000000000002,174.39999999999998,0,3,30,False,0,0,0.01,1.0,0.4,42,4
166,PGF,25.0,124.99999999999997,0,2,30,False,0,0,0.01,1.0,0.4,42,4
167,PGF,24.0,74.0,0,1,30,False,0,0,0.01,1.0,0.4,42,4
168,PGF,25.0,124.99999999999997,0,2,30,False,0,0,0.01,1.0,0.4,42,4
169,PGF,23.189999999999998,23.189999999999944,1,2,30,False,0,0,0.01,1.0,0.4,42,4
170,PGF,24.8,224.80000000000007,0,4,30,False,0,0,0.01,1.0,0.4,42,4
171,PGF,24.6,224.60000000000014,0,4,30,False,0,0,0.01,1.0,0.4,42,4
172,PGF,22.4,122.39999999999995,0,2,30,False,0,0,0.01,1.0,0.4,42,4
173,PGF,22.6,122.59999999999992,0,2,30,False,0,0,0.01,1.0,0.4,42,4
174,PGF,23.2,123.19999999999995,0,2,30,False,0,0,0.01,1.0,0.4,42,4
175,PGF,25.2,175.20000000000013,0,3,30,False,0,0,0.01,1.0,0.4,42,4
176,PGF,21.79,-28.21000000000006,1,1,30,False,0,0,0.01,1.0,0.4,42,4
177,PGF,20.0,20.0,0,0,30,False,0,0,0.01,1.0,0.4,42,4
178,PGF,22.4,122.39999999999992,0,2,30,False,0,0,0.01,1.0,0.4,42,4
179,PGF,28.6,328.6000000000001,0,6,30,False,0,0,0.01,1.0,0.4,42,4
180,PGF,27.0,227.0,0,4,30,False,0,0,0.01,1.0,0.4,42,4
181,PGF,30.0,380.0,0,7,30,False,0,0,0.01,1.0,0.4,42,4
182,PGF,24.0,73.99999999999997,0,1,30,False,0,0,0.01,1.0,0.4,42,4
183,PGF,24.2,174.2,0,3,30,False,0,0,0.01,1.0,0.4,42,4
184,PGF,26.0,176.00000000000006,0,3,30,False,0,0,0.01,1.0,0.4,42,4
185,PGF,27.0,227.00000000000006,0,4,30,False,0,0,0.01,1.0,0.4,42,4
186,PGF,30.0,380.0000000000001,0,7,30,False,0,0,0.01,1.0,0.4,42,4
187,PGF,27.0,227.0,0,4,30,False,0,0,0.01,1.0,0.4,42,4
188,PGF,25.8,225.80000000000013,0,4,30,False,0,0,0.01,1.0,0.4,42,4
