group,grid_size,seed,agent,pgf_mix,budget,episodes_completed,catastrophes_total,budget_exhausted,cfr,catastrophe_episodes_rate,filename
C-H,8,123,control,0.0,3,8,3,1,1,0.375,results/v11/F5/F2_redteam/stkH/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p1_seed123_stkH_b3_m0p0_v11_episodes.csv
C-H,8,271,control,0.0,3,6,3,1,1,0.5,results/v11/F5/F2_redteam/stkH/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p1_seed271_stkH_b3_m0p0_v11_episodes.csv
C-H,8,314,control,0.0,3,8,3,1,1,0.375,results/v11/F5/F2_redteam/stkH/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p1_seed314_stkH_b3_m0p0_v11_episodes.csv
C-H,8,404,control,0.0,3,4,3,1,1,0.75,results/v11/F5/F2_redteam/stkH/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p1_seed404_stkH_b3_m0p0_v11_episodes.csv
C-H,8,808,control,0.0,3,5,3,1,1,0.6,results/v11/F5/F2_redteam/stkH/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p1_seed808_stkH_b3_m0p0_v11_episodes.csv
C-H,16,123,control,0.0,3,17,3,1,1,0.17647058823529413,results/v11/F5/F2_redteam/stkH/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p1_seed123_stkH_b3_m0p0_v11_episodes.csv
C-H,16,271,control,0.0,3,12,3,1,1,0.25,results/v11/F5/F2_redteam/stkH/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p1_seed271_stkH_b3_m0p0_v11_episodes.csv
C-H,16,314,control,0.0,3,17,3,1,1,0.17647058823529413,results/v11/F5/F2_redteam/stkH/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p1_seed314_stkH_b3_m0p0_v11_episodes.csv
C-H,16,404,control,0.0,3,11,3,1,1,0.2727272727272727,results/v11/F5/F2_redteam/stkH/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p1_seed404_stkH_b3_m0p0_v11_episodes.csv
C-H,16,808,control,0.0,3,16,3,1,1,0.1875,results/v11/F5/F2_redteam/stkH/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p1_seed808_stkH_b3_m0p0_v11_episodes.csv
S0-H,8,123,simbiosis,0.0,3,10,3,1,1,0.3,results/v11/F5/F2_redteam/stkH/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p1_seed123_stkH_b3_m0p0_v11_episodes.csv
S0-H,8,271,simbiosis,0.0,3,6,3,1,1,0.5,results/v11/F5/F2_redteam/stkH/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p1_seed271_stkH_b3_m0p0_v11_episodes.csv
S0-H,8,314,simbiosis,0.0,3,20,3,1,1,0.15,results/v11/F5/F2_redteam/stkH/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p1_seed314_stkH_b3_m0p0_v11_episodes.csv
S0-H,8,404,simbiosis,0.0,3,12,3,1,1,0.25,results/v11/F5/F2_redteam/stkH/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p1_seed404_stkH_b3_m0p0_v11_episodes.csv
S0-H,8,808,simbiosis,0.0,3,6,3,1,1,0.5,results/v11/F5/F2_redteam/stkH/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p1_seed808_stkH_b3_m0p0_v11_episodes.csv
S0-H,16,123,simbiosis,0.0,3,19,3,1,1,0.15789473684210525,results/v11/F5/F2_redteam/stkH/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p1_seed123_stkH_b3_m0p0_v11_episodes.csv
S0-H,16,271,simbiosis,0.0,3,10,3,1,1,0.3,results/v11/F5/F2_redteam/stkH/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p1_seed271_stkH_b3_m0p0_v11_episodes.csv
S0-H,16,314,simbiosis,0.0,3,23,3,1,1,0.13043478260869565,results/v11/F5/F2_redteam/stkH/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p1_seed314_stkH_b3_m0p0_v11_episodes.csv
S0-H,16,404,simbiosis,0.0,3,25,3,1,1,0.12,results/v11/F5/F2_redteam/stkH/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p1_seed404_stkH_b3_m0p0_v11_episodes.csv
S0-H,16,808,simbiosis,0.0,3,18,3,1,1,0.16666666666666666,results/v11/F5/F2_redteam/stkH/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p1_seed808_stkH_b3_m0p0_v11_episodes.csv
S2-H,8,123,simbiosis,0.2,3,10,3,1,1,0.3,results/v11/F5/F2_redteam/stkH/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p1_seed123_stkH_b3_m0p2_v11_episodes.csv
S2-H,8,271,simbiosis,0.2,3,6,3,1,1,0.5,results/v11/F5/F2_redteam/stkH/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p1_seed271_stkH_b3_m0p2_v11_episodes.csv
S2-H,8,314,simbiosis,0.2,3,20,3,1,1,0.15,results/v11/F5/F2_redteam/stkH/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p1_seed314_stkH_b3_m0p2_v11_episodes.csv
S2-H,8,404,simbiosis,0.2,3,12,3,1,1,0.25,results/v11/F5/F2_redteam/stkH/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p1_seed404_stkH_b3_m0p2_v11_episodes.csv
S2-H,8,808,simbiosis,0.2,3,6,3,1,1,0.5,results/v11/F5/F2_redteam/stkH/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p1_seed808_stkH_b3_m0p2_v11_episodes.csv
S2-H,16,123,simbiosis,0.2,3,19,3,1,1,0.15789473684210525,results/v11/F5/F2_redteam/stkH/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p1_seed123_stkH_b3_m0p2_v11_episodes.csv
S2-H,16,271,simbiosis,0.2,3,10,3,1,1,0.3,results/v11/F5/F2_redteam/stkH/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p1_seed271_stkH_b3_m0p2_v11_episodes.csv
S2-H,16,314,simbiosis,0.2,3,23,3,1,1,0.13043478260869565,results/v11/F5/F2_redteam/stkH/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p1_seed314_stkH_b3_m0p2_v11_episodes.csv
S2-H,16,404,simbiosis,0.2,3,25,3,1,1,0.12,results/v11/F5/F2_redteam/stkH/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p1_seed404_stkH_b3_m0p2_v11_episodes.csv
S2-H,16,808,simbiosis,0.2,3,18,3,1,1,0.16666666666666666,results/v11/F5/F2_redteam/stkH/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p1_seed808_stkH_b3_m0p2_v11_episodes.csv
