group,grid_size,seed,agent,pgf_mix,budget,episodes_completed,catastrophes_total,budget_exhausted,cfr,catastrophe_episodes_rate,filename
C-H,16,601,control,0.0,40,158,40,1,1,0.25316455696202533,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed601_stkH_b40_m0p0_v11_episodes.csv
C-H,16,602,control,0.0,40,152,40,1,1,0.2631578947368421,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed602_stkH_b40_m0p0_v11_episodes.csv
C-H,16,603,control,0.0,40,188,40,1,1,0.2127659574468085,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed603_stkH_b40_m0p0_v11_episodes.csv
C-H,16,604,control,0.0,40,114,40,1,1,0.3508771929824561,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed604_stkH_b40_m0p0_v11_episodes.csv
C-H,16,605,control,0.0,40,164,40,1,1,0.24390243902439024,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed605_stkH_b40_m0p0_v11_episodes.csv
C-H,16,606,control,0.0,40,147,40,1,1,0.272108843537415,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed606_stkH_b40_m0p0_v11_episodes.csv
C-H,16,607,control,0.0,40,165,40,1,1,0.24242424242424243,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed607_stkH_b40_m0p0_v11_episodes.csv
C-H,16,608,control,0.0,40,146,40,1,1,0.273972602739726,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed608_stkH_b40_m0p0_v11_episodes.csv
C-H,16,609,control,0.0,40,183,40,1,1,0.2185792349726776,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed609_stkH_b40_m0p0_v11_episodes.csv
C-H,16,610,control,0.0,40,129,40,1,1,0.31007751937984496,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed610_stkH_b40_m0p0_v11_episodes.csv
C-H,16,611,control,0.0,40,104,40,1,1,0.38461538461538464,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed611_stkH_b40_m0p0_v11_episodes.csv
