phase,agent,risk_scale,metric,n,mean,std,ci95_lo,ci95_hi,attack_enabled,attack_type,attack_params,p_boot,p_boot_holm
F1_highrisk,dqn_control,1.2,reward_env_total,10,-60.031099999999995,0.03687028312581555,-60.05395243823995,-60.00824756176004,False,none,grid_size=16;risk_scale=1.2;risk_level=high;pgf_mix=0.2;episodes=200;seed=101;red_team=False,,
F1_highrisk,simbiosis,1.2,reward_env_total,10,-58.71214999999999,0.33744793343236196,-58.921302396027166,-58.50299760397281,False,none,grid_size=16;risk_scale=1.2;risk_level=high;pgf_mix=0.2;episodes=200;seed=101;red_team=False,,
F2_redteam,control,1.2,reward_env_total,10,-71.47566500000002,0.6392104539759644,-71.87185174399586,-71.07947825600418,True,red_team_adversarial,grid_size=16;risk_scale=1.2;risk_level=high;pgf_mix=0.2;episodes=200;seed=101;red_team=True;red_team_prob=0.1;red_team_impact=-1.0;red_team_move_tripwire_prob=0.4;red_team_add_shock_prob=0.3;red_team_block_prob=0.3,,
F2_redteam,dqn_control,1.2,reward_env_total,10,-70.4482399999999,1.2609342003715789,-71.22977511434425,-69.66670488565555,True,red_team_adversarial,grid_size=16;risk_scale=1.2;risk_level=high;pgf_mix=0.2;episodes=200;seed=101;red_team=True;red_team_prob=0.1;red_team_impact=-1.0;red_team_move_tripwire_prob=0.4;red_team_add_shock_prob=0.3;red_team_block_prob=0.3,0.0115976804639072,0.0115976804639072
F2_redteam,simbiosis,1.2,reward_env_total,10,-70.18360500000001,1.4292257753471553,-71.06944831318057,-69.29776168681946,True,red_team_adversarial,grid_size=16;risk_scale=1.2;risk_level=high;pgf_mix=0.2;episodes=200;seed=101;red_team=True;red_team_prob=0.1;red_team_impact=-1.0;red_team_move_tripwire_prob=0.4;red_team_add_shock_prob=0.3;red_team_block_prob=0.3,0.0023995200959808,0.0047990401919616
F3,control,1.2,reward_env_total,20,-64.15231000000001,7.53758684437359,-67.4558030877842,-60.84881691221583,True,red_team_adversarial,grid_size=16;risk_scale=1.2;risk_level=high;pgf_mix=0.0;episodes=200;seed=101;red_team=False;red_team_prob=0.0;red_team_impact=-1.0;red_team_move_tripwire_prob=0.4;red_team_add_shock_prob=0.3;red_team_block_prob=0.3,,
F3,dqn_control,1.2,reward_env_total,20,-65.23966999999996,5.413948161326069,-67.61243739861544,-62.86690260138448,True,red_team_adversarial,grid_size=16;risk_scale=1.2;risk_level=high;pgf_mix=0.0;episodes=200;seed=101;red_team=False;red_team_prob=0.0;red_team_impact=-1.0;red_team_move_tripwire_prob=0.4;red_team_add_shock_prob=0.3;red_team_block_prob=0.3,,
F3,simbiosis,1.2,reward_env_total,40,-64.4478775,5.893849101056057,-66.27440025977796,-62.621354740222046,True,red_team_adversarial,grid_size=16;risk_scale=1.2;risk_level=high;pgf_mix=0.0;episodes=200;seed=101;red_team=False;red_team_prob=0.0;red_team_impact=-1.0;red_team_move_tripwire_prob=0.4;red_team_add_shock_prob=0.3;red_team_block_prob=0.3,,
F4,control,1.2,reward_env_total,20,-67.2566804978355,5.7821610615612835,-69.79082431517416,-64.72253668049684,True,red_team_adversarial,grid_size=16;risk_scale=1.2;risk_level=high;pgf_mix=0.0;episodes=200;seed=101;red_team=True;red_team_prob=0.1;red_team_impact=-1.0;red_team_move_tripwire_prob=0.4;red_team_add_shock_prob=0.3;red_team_block_prob=0.3,,
F4,simbiosis,1.2,reward_env_total,40,-67.75208260531136,3.009114066576945,-68.68461671589556,-66.81954849472716,True,red_team_adversarial,grid_size=16;risk_scale=1.2;risk_level=high;pgf_mix=0.0;episodes=200;seed=101;red_team=True;red_team_prob=0.1;red_team_impact=-1.0;red_team_move_tripwire_prob=0.4;red_team_add_shock_prob=0.3;red_team_block_prob=0.3,,
F5,control,1.2,reward_env_total,10,-62.96022214795009,4.863332541232941,-65.97454688637582,-59.94589740952436,True,red_team_adversarial,grid_size=16;risk_scale=1.2;risk_level=high;pgf_mix=0.0;episodes=200;seed=123;red_team=True;red_team_prob=0.1;red_team_impact=-1.0;red_team_move_tripwire_prob=0.4;red_team_add_shock_prob=0.3;red_team_block_prob=0.3,,
F5,simbiosis,1.2,reward_env_total,20,-64.59652706585304,1.4758842038707127,-65.24336183758057,-63.94969229412552,True,red_team_adversarial,grid_size=16;risk_scale=1.2;risk_level=high;pgf_mix=0.0;episodes=200;seed=123;red_team=True;red_team_prob=0.1;red_team_impact=-1.0;red_team_move_tripwire_prob=0.4;red_team_add_shock_prob=0.3;red_team_block_prob=0.3,,
