agent,risk_group,mean_diff,ci95_lo,ci95_hi,p_boot_nonparam,n_agent,n_control
dqn_control,1.0,-9.841047771050993,-11.797957811410361,-7.89030943421588,0.5004,21,42
simbiosis,1.0,36.19377719785945,34.224902053196466,38.147732941800164,0.4988,21,42
