comparison,condition,baseline_control_mean,mesi_abs_5pct_baseline,n_a,n_b,mean_a,mean_b,sd_a,sd_b,se,power_alpha_0p05,power_bonf_0p05_div_6
F1:m0p0_simbiosis_vs_control,F1_highrisk,-56.82895500000001,2.8414477500000004,10,10,-58.71214999999999,-56.82895500000001,0.33744793343236196,0.5945319477678763,0.2161803285903777,1.0,1.0
F1:m0p0_simbiosis_vs_dqn_control,F1_highrisk,-56.82895500000001,2.8414477500000004,10,10,-58.71214999999999,-60.031099999999995,0.33744793343236196,0.03687028312581555,0.10734548223169413,1.0,1.0
F2:m0p0_simbiosis_vs_control,F2_redteam,-71.47566500000002,3.5737832500000013,10,10,-70.18360500000001,-71.47566500000002,1.4292257753471553,0.6392104539759644,0.4951036579736445,0.9999999272988899,0.9999976750680308
F2:m0p0_simbiosis_vs_dqn_control,F2_redteam,-71.47566500000002,3.5737832500000013,10,10,-70.18360500000001,-70.4482399999999,1.4292257753471553,1.2609342003715789,0.6027139764916183,0.999963991314005,0.9995012436806454
F1:pgf_ablation_m0p2_vs_m0p0,F1_highrisk,-56.82895500000001,2.8414477500000004,10,10,-58.71214999999999,-58.71214999999999,0.33744793343236196,0.33744793343236196,0.15091130360431707,1.0,1.0
F2:pgf_ablation_m0p2_vs_m0p0,F2_redteam,-71.47566500000002,3.5737832500000013,10,10,-70.18360500000001,-70.18360500000001,1.4292257753471553,1.4292257753471553,0.6391691977742164,0.9998590181245517,0.9984266801679186
