agent,risk_group,mean_diff,ci95_lo,ci95_hi,p_boot_nonparam,n_agent,n_control
dqn_control,1.0,-3.2734490047618974,-3.469565684523794,-3.084104523809496,0.499,42,42
simbiosis,1.0,42.76069982856574,42.549619417208866,42.96834409861818,0.5002,42,42
