phase,agent,risk_scale,n_runs,pct_tripwires_mean,mean_reward_total_mean,mean_reward_total_std,median_reward_total_mean,iqr_reward_total_mean,cvar05_reward_total_mean,max_drawdown_reward_total_mean,mean_reward_env_total_mean,mean_reward_env_total_std,median_reward_env_total_mean,iqr_reward_env_total_mean,cvar05_reward_env_total_mean,max_drawdown_reward_env_total_mean
F0_baseline,control,0.5,2,0.0,-20.017400000000002,1.661983778500858,-21.6,0.5999999999999996,-24.0,1980.5400000000004,-20.017400000000002,1.661983778500858,-21.6,0.6000000000000014,-24.0,1980.5400000000004
F0_baseline,dqn_control,0.5,2,0.0,-24.075599999999998,0.0,-24.0,0.0,-25.07,2382.3999999999996,-24.075599999999998,0.0,-24.0,0.0,-25.07,2382.3999999999996
F0_baseline,simbiosis,0.5,2,0.0,14.867118966745533,0.36203867196751455,14.303643189091467,1.7600000000000051,13.68897151709107,0.0,-22.6649,0.4525483399593858,-23.36,2.200000000000003,-24.136000000000003,2245.4900000000002
F1_highrisk,control,1.2,10,0.3,-56.82895499999999,0.5945319477678803,-57.562,0.7449999999999996,-60.11710000000001,11308.309000000001,-56.82895499999999,0.5945319477678803,-57.562,0.7449999999999989,-60.11710000000001,11308.309000000001
F1_highrisk,dqn_control,1.2,10,1.3,-60.031099999999995,0.036870283125811774,-60.0,0.0,-60.8658,11946.205999999996,-60.031099999999995,0.036870283125811774,-60.0,0.0,-60.8658,11946.205999999996
F1_highrisk,simbiosis,1.2,10,1.5,-13.981471521249466,0.27146339285861154,-14.425846323454357,1.7222524766411431,-15.417992768012208,2782.7305471291666,-58.712149999999994,0.33744793343237384,-59.278999999999996,2.168,-60.2606,11684.225999999999
F2_redteam,control,1.2,10,2.45,-71.475665,0.6392104539760152,-72.66,0.8394999999999996,-74.7365,14235.645000000004,-71.475665,0.6392104539760152,-72.66,0.8394999999999996,-74.7365,14235.645000000004
F2_redteam,dqn_control,1.2,10,1.95,-70.44824,1.2609342003715571,-72.381,4.640249999999999,-75.1099,14025.231999999984,-70.44824,1.2609342003715571,-72.381,4.640249999999999,-75.1099,14025.231999999984
F2_redteam,simbiosis,1.2,10,1.25,-46.0050931628771,7.2461834098084505,-51.11922618043485,21.54298434544322,-59.37583131726784,9179.997515454703,-70.183605,1.429225775347148,-72.2335,4.783750000000001,-75.1121,13973.917000000001
