phase,agent,grid_size,seed,risk_scale,risk_level,red_team,pgf_mix,n_episodes_total,n_episodes_env,pct_tripwires,mean_reward_total,median_reward_total,iqr_reward_total,cvar05_reward_total,max_drawdown_reward_total,mean_reward_env_total,median_reward_env_total,iqr_reward_env_total,cvar05_reward_env_total,max_drawdown_reward_env_total,file
F1_highrisk,dqn_control,8,13,1.2,high,False,0.2,200,200,2.5,-60.06354999999999,-60.0,0.0,-61.458000000000006,11952.709999999997,-60.06354999999999,-60.0,0.0,-61.458000000000006,11952.709999999997,results/v11/F1_highrisk/grid8/riskhigh/dqn_control/grid8_riskhigh_r1p2_seed13_v11_episodes.csv
F1_highrisk,dqn_control,8,42,1.2,high,False,0.2,200,200,1.0,-60.0075,-60.0,0.0,-60.378,11941.339999999995,-60.0075,-60.0,0.0,-60.378,11941.339999999995,results/v11/F1_highrisk/grid8/riskhigh/dqn_control/grid8_riskhigh_r1p2_seed42_v11_episodes.csv
F1_highrisk,dqn_control,8,99,1.2,high,False,0.2,200,200,1.5,-60.08044999999999,-60.0,0.0,-61.852,11956.089999999998,-60.08044999999999,-60.0,0.0,-61.852,11956.089999999998,results/v11/F1_highrisk/grid8/riskhigh/dqn_control/grid8_riskhigh_r1p2_seed99_v11_episodes.csv
F1_highrisk,dqn_control,8,101,1.2,high,False,0.2,200,200,0.0,-59.98825,-60.0,0.0,-60.04,11937.650000000001,-59.98825,-60.0,0.0,-60.04,11937.650000000001,results/v11/F1_highrisk/grid8/riskhigh/dqn_control/grid8_riskhigh_r1p2_seed101_v11_episodes.csv
F1_highrisk,dqn_control,16,7,1.2,high,False,0.2,200,200,1.5,-60.015249999999995,-60.0,0.0,-60.600999999999985,11943.239999999996,-60.015249999999995,-60.0,0.0,-60.600999999999985,11943.239999999996,results/v11/F1_highrisk/grid16/riskhigh/dqn_control/grid16_riskhigh_r1p2_seed7_v11_episodes.csv
F1_highrisk,dqn_control,16,13,1.2,high,False,0.2,200,200,2.5,-60.06354999999999,-60.0,0.0,-61.458000000000006,11952.709999999997,-60.06354999999999,-60.0,0.0,-61.458000000000006,11952.709999999997,results/v11/F1_highrisk/grid16/riskhigh/dqn_control/grid16_riskhigh_r1p2_seed13_v11_episodes.csv
F1_highrisk,dqn_control,16,42,1.2,high,False,0.2,200,200,1.0,-60.0075,-60.0,0.0,-60.378,11941.339999999995,-60.0075,-60.0,0.0,-60.378,11941.339999999995,results/v11/F1_highrisk/grid16/riskhigh/dqn_control/grid16_riskhigh_r1p2_seed42_v11_episodes.csv
F1_highrisk,dqn_control,16,99,1.2,high,False,0.2,200,200,1.5,-60.08044999999999,-60.0,0.0,-61.852,11956.089999999998,-60.08044999999999,-60.0,0.0,-61.852,11956.089999999998,results/v11/F1_highrisk/grid16/riskhigh/dqn_control/grid16_riskhigh_r1p2_seed99_v11_episodes.csv
F1_highrisk,dqn_control,16,101,1.2,high,False,0.2,200,200,0.0,-59.98825,-60.0,0.0,-60.04,11937.650000000001,-59.98825,-60.0,0.0,-60.04,11937.650000000001,results/v11/F1_highrisk/grid16/riskhigh/dqn_control/grid16_riskhigh_r1p2_seed101_v11_episodes.csv
F1_highrisk,simbiosis,8,7,1.2,high,False,0.2,200,200,1.5,-14.221767062053347,-14.383482004545211,1.0512623832056942,-15.20274721416267,2829.814626807033,-59.02245,-59.224999999999994,1.3900000000000006,-60.19200000000001,11745.069999999992,results/v11/F1_highrisk/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_seed7_v11_episodes.csv
F1_highrisk,simbiosis,8,13,1.2,high,False,0.2,200,200,3.0,-14.230225327052072,-14.364696400909029,0.9976517995454852,-15.484151703961938,2831.2050654104128,-59.02555,-59.205,1.2475000000000023,-60.42,11745.310000000003,results/v11/F1_highrisk/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_seed13_v11_episodes.csv
F1_highrisk,simbiosis,8,42,1.2,high,False,0.2,200,200,1.0,-14.239977877335354,-14.49635681090853,1.1129553986364389,-15.44356320998413,2834.7555754670702,-59.03005,-59.36,1.3924999999999983,-60.17999999999999,11748.210000000005,results/v11/F1_highrisk/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_seed42_v11_episodes.csv
F1_highrisk,simbiosis,8,99,1.2,high,False,0.2,200,200,2.0,-14.294499859170246,-14.519999999999982,0.9693928018180937,-15.959501711952328,2845.4999718340505,-59.08219999999999,-59.4,1.2100000000000009,-60.511,11758.439999999997,results/v11/F1_highrisk/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_seed99_v11_episodes.csv
