phase,risk_scale,metric,agent,mean_diff,ci95_lo,ci95_hi,p_boot,p_boot_holm,n_agent,n_control,unit,B
F2_redteam,1.2,reward_total,dqn_control,1.027425000000008,0.22348512499998813,1.8709136250000045,0.013197360527894421,0.013197360527894421,10,10,run_mean_by_file,5000
F2_redteam,1.2,reward_total,simbiosis,25.470571837122904,21.23382036200329,29.885994749951625,0.0003999200159968006,0.0007998400319936012,10,10,run_mean_by_file,5000
F2_redteam,1.2,reward_env_total,dqn_control,1.0274250000001217,0.2471111250001176,1.8578243750001162,0.011597680463907219,0.011597680463907219,10,10,run_mean_by_file,5000
F2_redteam,1.2,reward_env_total,simbiosis,1.2920600000000064,0.3876707500001036,2.172688499999902,0.0023995200959808036,0.004799040191961607,10,10,run_mean_by_file,5000
