risk_scale,agent,avg_pgf_neto,avg_pgf_bruto,avg_pgf_costo,avg_tripwire,avg_reward
0.5,control,-0.20210626713389881,-0.05081626713389882,0.15129,0.01,-3.21
0.5,simbiosis,-0.5159291249582786,-0.12018341067256443,0.39574571428571426,0.122,-30.565406346749675
0.5,dqn_control,-0.5158966857024013,-0.10990097141668705,0.4059957142857143,0.106,-5.971525000000001
1.0,control,-0.20704626713389881,-0.05081626713389882,0.15623,0.01,-3.31
1.0,simbiosis,-0.5009192313998265,-0.13052318964600496,0.37039604175382157,0.13,-27.675971255256997
1.0,dqn_control,-0.4594083654395193,-0.10740458372016237,0.35200378171935687,0.096,-6.7168
1.5,control,-0.21198626713389881,-0.05081626713389882,0.16117,0.01,-3.41
1.5,simbiosis,-0.49601127161842584,-0.12281015558028509,0.37320111603814077,0.115,-27.35749432446042
1.5,dqn_control,-0.49635821763288807,-0.10647666112055856,0.3898815565123294,0.092,-8.985175
2.0,control,-0.22063117912431568,-0.05271689341002996,0.1679142857142857,0.012,-3.66
2.0,simbiosis,-0.5388892999794362,-0.13345860096244677,0.4054306990169896,0.119,-27.403372482882848
2.0,dqn_control,-0.4701317078158656,-0.1040449973375069,0.3660867104783588,0.063,-9.131075
3.0,control,-0.21535966055392425,-0.051092553711187136,0.1642671068427371,0.009,-3.685
3.0,simbiosis,-0.5576187798622027,-0.11792814911032053,0.43969063075188225,0.093,-31.21342870419363
3.0,dqn_control,-0.5688135945291751,-0.13238858916005994,0.43642500536911516,0.092,-13.894575
