Agente,Episodio,Recompensa,Tripwires,Flexibilidad,Robustez,Q-optimal,PGF_Bruto_Avg,PGF_Costo_Avg,RiskEffective_Avg,Surprise_Avg,Starvation,GoalReached
control,1,-73.3,0.0,0.5714285714285714,1.0,0.8571428571428571,4.05044111538758,0.18571428571428572,0.4054761904761905,0.1142857142857143,1,0
control,2,-59.6,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.314047619047619,0.0,0,0
control,3,-72.3,0.0,1.0,1.0,0.0,-4.646912192286944,1.2000000000000002,0.31833333333333336,0.8,1,0
control,4,-73.1,0.0,0.5185185185185185,1.0,0.8888888888888888,5.124188437322705,0.04814814814814815,0.31004769921436587,0.02962962962962963,1,0
control,5,-72.1,0.0,0.52,1.0,0.84,5.0941235123085225,0.04800000000000001,0.3005151515151515,0.032,1,0
control,6,-60.0,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.28833333333333333,0.0,0,0
control,7,-59.41,0.0,0.5,0.9866666666666667,0.8,5.4997462163936115,0.0,0.2902907828282828,0.0,0,0
control,8,-61.0,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.2758333333333333,0.0,0,0
control,9,-62.4,0.0,0.5,1.0,0.8333333333333334,5.066666666666666,0.14333333333333334,0.2864225589225589,0.0,0,0
control,10,-60.6,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.2912689393939394,0.0,0,0
control,11,-72.3,0.0,0.75,1.0,0.5,0.42654390385652796,0.6000000000000001,0.31272727272727274,0.4,1,0
control,12,-60.6,0.0,0.5,1.0,0.8,5.5,0.0,0.2784090909090909,0.0,0,0
control,13,-61.4,0.0,0.5,1.0,0.8333333333333334,5.4,0.030000000000000006,0.28307208994709004,0.0,0,0
control,14,-62.0,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.28496843434343433,0.0,0,0
control,15,-72.3,0.0,0.75,1.0,0.5,0.42654390385652796,0.6000000000000001,0.3177777777777778,0.4,1,0
control,16,-72.3,0.0,0.5625,1.0,0.875,4.231635975964132,0.15000000000000002,0.3519444444444445,0.1,1,0
control,17,-72.1,0.0,0.525,1.0,0.6,4.992654390385653,0.06000000000000001,0.32333333333333336,0.04,1,0
control,18,-72.3,0.0,0.5833333333333334,1.0,0.6666666666666666,3.808847967952176,0.20000000000000004,0.3525925925925926,0.13333333333333333,1,0
control,19,-72.11,0.0,0.5714285714285714,0.9428571428571428,0.5714285714285714,4.049353471360196,0.17157142857142857,0.35525099206349203,0.1142857142857143,1,0
