total_reward_env,total_reward_shaped,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,resources_collected,tripwires_triggered,episode,shaping_scale,stage,episodes_in_stage,success_rate_last_25,epsilon,seed,transition_triggered
21.470000000000002,21.470000000000002,30,0,0,0,0,3,60,0.0,0,60,0.0,0.01,42,0
22.02,22.02,30,0,0,0,1,3,61,0.0,0,61,0.0,0.01,42,0
21.47,21.47,30,0,0,0,0,3,62,0.0,0,62,0.0,0.01,42,0
21.47,21.47,30,0,0,0,0,3,63,0.0,0,63,0.0,0.01,42,0
21.47,21.47,30,0,0,0,0,3,64,0.0,0,64,0.0,0.01,42,0
21.47,21.47,30,0,0,0,0,3,65,0.0,0,65,0.0,0.01,42,0
22.630000000000003,22.630000000000003,30,0,0,0,0,7,66,0.0,0,66,0.0,0.01,42,0
23.05,23.05,30,0,0,0,0,5,67,0.0,0,67,0.0,0.01,42,0
22.63,22.63,30,0,0,0,0,7,68,0.0,0,68,0.0,0.01,42,0
22.810000000000002,22.810000000000002,30,0,0,0,1,4,69,0.0,0,69,0.0,0.01,42,0
22.62,22.62,30,0,0,0,0,8,70,0.0,0,70,0.0,0.01,42,0
18.5,18.5,30,0,0,0,0,0,71,0.0,0,71,0.0,0.01,42,0
21.07,21.07,30,0,0,0,0,3,72,0.0,0,72,0.0,0.01,42,0
24.72,24.72,30,0,0,0,2,8,73,0.0,0,73,0.0,0.01,42,0
21.47,21.47,30,0,0,0,0,3,74,0.0,0,74,0.0,0.01,42,0
23.81,23.81,30,0,0,0,0,9,75,0.0,0,75,0.0,0.01,42,0
21.47,21.47,30,0,0,0,0,3,76,0.0,0,76,0.0,0.01,42,0
21.47,21.47,30,0,0,0,0,3,77,0.0,0,77,0.0,0.01,42,0
21.47,21.47,30,0,0,0,0,3,78,0.0,0,78,0.0,0.01,42,0
20.87,20.87,30,0,0,0,0,3,79,0.0,0,79,0.0,0.01,42,0
21.82,21.82,30,0,0,0,0,8,80,0.0,0,80,0.0,0.01,42,0
21.47,21.47,30,0,0,0,0,3,81,0.0,0,81,0.0,0.01,42,0
22.21,22.21,30,0,0,0,1,4,82,0.0,0,82,0.0,0.01,42,0
21.82,21.82,30,0,0,0,0,8,83,0.0,0,83,0.0,0.01,42,0
23.03,23.03,30,0,0,0,0,7,84,0.0,0,84,0.0,0.01,42,0
21.470000000000002,21.470000000000002,30,0,0,0,0,3,85,0.0,0,85,0.0,0.01,42,0
21.47,21.47,30,0,0,0,0,3,86,0.0,0,86,0.0,0.01,42,0
21.47,21.47,30,0,0,0,0,3,87,0.0,0,87,0.0,0.01,42,0
18.5,18.5,30,0,0,0,0,0,88,0.0,0,88,0.0,0.01,42,0
19.3,19.3,30,0,0,0,0,0,89,0.0,0,89,0.0,0.01,42,0
20.979999999999997,20.979999999999997,30,0,0,0,0,12,90,0.0,0,90,0.0,0.01,42,0
21.07,21.07,30,0,0,0,0,3,91,0.0,0,91,0.0,0.01,42,0
21.27,21.27,30,0,0,0,0,3,92,0.0,0,92,0.0,0.01,42,0
21.27,21.27,30,0,0,0,0,3,93,0.0,0,93,0.0,0.01,42,0
23.05,23.05,30,0,0,0,0,5,94,0.0,0,94,0.0,0.01,42,0
22.2,22.2,30,0,0,0,0,10,95,0.0,0,95,0.0,0.01,42,0
21.47,21.47,30,0,0,0,0,3,96,0.0,0,96,0.0,0.01,42,0
21.47,21.47,30,0,0,0,0,3,97,0.0,0,97,0.0,0.01,42,0
