total_reward_env,total_reward_shaped,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,resources_collected,tripwires_triggered,episode,shaping_scale,stage,episodes_in_stage,success_rate_last_25,transition_triggered,epsilon,seed
24.38,24.38,30,0,0,0,0,11,61,0.0,0,62,,0,0.01,42
23.189999999999998,23.189999999999998,30,0,0,0,0,10,62,0.0,0,63,,0,0.01,42
23.6,23.6,30,0,0,0,0,9,63,0.0,0,64,,0,0.01,42
23.0,23.0,30,0,0,0,0,9,64,0.0,0,65,,0,0.01,42
23.6,23.6,30,0,0,0,0,9,65,0.0,0,66,,0,0.01,42
23.56,23.56,30,0,0,0,0,13,66,0.0,0,67,,0,0.01,42
14.66,14.66,6,0,0,0,0,2,67,0.0,0,68,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,68,0.0,0,69,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,69,0.0,0,70,,0,0.01,42
24.009999999999998,24.009999999999998,30,0,0,0,0,8,70,0.0,0,71,,0,0.01,42
14.66,14.66,6,0,0,0,0,2,71,0.0,0,72,,0,0.01,42
23.61,23.61,30,0,0,0,0,8,72,0.0,0,73,,0,0.01,42
23.37,23.37,30,0,0,0,1,7,73,0.0,0,74,,0,0.01,42
23.799999999999997,23.799999999999997,30,0,0,0,0,9,74,0.0,0,75,,0,0.01,42
14.66,14.66,6,0,0,0,0,2,75,0.0,0,76,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,76,0.0,0,77,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,77,0.0,0,78,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,78,0.0,0,79,,0,0.01,42
14.66,14.66,6,0,0,0,0,2,79,0.0,0,80,,0,0.01,42
14.66,14.66,6,0,0,0,0,2,80,0.0,0,81,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,81,0.0,0,82,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,82,0.0,0,83,,0,0.01,42
22.200000000000003,22.200000000000003,30,0,0,0,0,10,83,0.0,0,84,,0,0.01,42
23.97,23.97,30,0,0,0,0,12,84,0.0,0,85,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,85,0.0,0,86,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,86,0.0,0,87,,0,0.01,42
14.66,14.66,6,0,0,0,0,2,87,0.0,0,88,,0,0.01,42
15.41,15.41,6,0,0,0,1,2,88,0.0,0,89,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,89,0.0,0,90,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,90,0.0,0,91,,0,0.01,42
23.99,23.99,30,0,0,0,0,10,91,0.0,0,92,,0,0.01,42
24.0,24.0,30,0,0,0,0,9,92,0.0,0,93,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,93,0.0,0,94,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,94,0.0,0,95,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,95,0.0,0,96,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,96,0.0,0,97,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,97,0.0,0,98,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,98,0.0,0,99,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,99,0.0,0,100,,0,0.01,42
15.43,15.43,6,0,0,0,1,1,100,0.0,0,101,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,101,0.0,0,102,,0,0.01,42
15.43,15.43,6,0,0,0,1,1,102,0.0,0,103,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,103,0.0,0,104,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,104,0.0,0,105,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,105,0.0,0,106,,0,0.01,42
14.66,14.66,6,0,0,0,0,2,106,0.0,0,107,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,107,0.0,0,108,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,108,0.0,0,109,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,109,0.0,0,110,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,110,0.0,0,111,,0,0.01,42
14.66,14.66,6,0,0,0,0,2,111,0.0,0,112,,0,0.01,42
14.66,14.66,6,0,0,0,0,2,112,0.0,0,113,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,113,0.0,0,114,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,114,0.0,0,115,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,115,0.0,0,116,,0,0.01,42
14.66,14.66,6,0,0,0,0,2,116,0.0,0,117,,0,0.01,42
14.66,14.66,6,0,0,0,0,2,117,0.0,0,118,,0,0.01,42
23.63,23.63,30,0,0,0,0,7,118,0.0,0,119,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,119,0.0,0,120,,0,0.01,42
14.66,14.66,6,0,0,0,0,2,120,0.0,0,121,,0,0.01,42
14.66,14.66,6,0,0,0,0,2,121,0.0,0,122,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,122,0.0,0,123,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,123,0.0,0,124,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,124,0.0,0,125,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,125,0.0,0,126,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,126,0.0,0,127,,0,0.01,42
15.12,15.12,8,0,0,0,1,2,127,0.0,0,128,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,128,0.0,0,129,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,129,0.0,0,130,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,130,0.0,0,131,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,131,0.0,0,132,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,132,0.0,0,133,,0,0.01,42
23.619999999999997,23.619999999999997,30,0,0,0,0,8,133,0.0,0,134,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,134,0.0,0,135,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,135,0.0,0,136,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,136,0.0,0,137,,0,0.01,42
15.43,15.43,6,0,0,0,1,1,137,0.0,0,138,,0,0.01,42
14.66,14.66,6,0,0,0,0,2,138,0.0,0,139,,0,0.01,42
14.66,14.66,6,0,0,0,0,2,139,0.0,0,140,,0,0.01,42
14.66,14.66,6,0,0,0,0,2,140,0.0,0,141,,0,0.01,42
14.66,14.66,6,0,0,0,0,2,141,0.0,0,142,,0,0.01,42
14.66,14.66,6,0,0,0,0,2,142,0.0,0,143,,0,0.01,42
14.66,14.66,6,0,0,0,0,2,143,0.0,0,144,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,144,0.0,0,145,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,145,0.0,0,146,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,146,0.0,0,147,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,147,0.0,0,148,,0,0.01,42
14.41,14.41,7,0,0,0,0,2,148,0.0,0,149,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,149,0.0,0,150,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,150,0.0,0,151,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,151,0.0,0,152,,0,0.01,42
14.66,14.66,6,0,0,0,0,2,152,0.0,0,153,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,153,0.0,0,154,,0,0.01,42
15.43,15.43,6,0,0,0,1,1,154,0.0,0,155,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,155,0.0,0,156,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,156,0.0,0,157,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,157,0.0,0,158,,0,0.01,42
14.68,14.68,6,0,0,0,0,1,158,0.0,0,159,,0,0.01,42
