total_reward_env,total_reward_shaped,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,resources_collected,tripwires_triggered,episode,shaping_scale,stage,episodes_in_stage,success_rate_last_25,transition_triggered,epsilon,seed
22.950000000000003,22.950000000000003,30,0,0,0,1,10,0,0.0,0,1,,0,0.8603841919146962,123
12.040000000000001,12.040000000000001,22,0,0,0,0,3,1,0.0,0,2,,0,0.7705488893118823,123
14.67,14.67,6,0,0,0,0,2,2,0.0,0,3,,0,0.7477194593032545,123
19.69,19.69,30,0,0,0,0,0,3,0.0,0,4,,0,0.6433260027715241,123
20.39,20.39,30,0,0,0,0,10,4,0.0,0,5,,0,0.5535075230322891,123
20.56,20.56,30,0,0,0,0,14,5,0.0,0,6,,0,0.47622912292284103,123
23.57,23.57,30,0,0,0,1,8,6,0.0,0,7,,0,0.40974000909221303,123
23.21,23.21,30,0,0,0,0,8,7,0.0,0,8,,0,0.35253382661792404,123
22.8,22.8,30,0,0,0,0,10,8,0.0,0,9,,0,0.3033145315372582,123
21.81,21.81,30,0,0,0,0,9,9,0.0,0,10,,0,0.2609670281126685,123
22.650000000000002,22.650000000000002,30,0,0,0,0,4,10,0.0,0,11,,0,0.22453190559909803,123
20.7,20.7,30,0,0,0,0,20,11,0.0,0,12,,0,0.19318370215794672,123
21.84,21.84,30,0,0,0,0,6,12,0.0,0,13,,0,0.1662122034722543,123
22.37,22.37,30,0,0,0,1,8,13,0.0,0,14,,0,0.14300635237083656,123
21.43,21.43,30,0,0,0,0,7,14,0.0,0,15,,0,0.12304040492325048,123
14.67,14.67,6,0,0,0,0,1,15,0.0,0,16,,0,0.11939502647758558,123
21.63,21.63,30,0,0,0,0,7,16,0.0,0,17,,0,0.10272559337455119,123
14.67,14.67,6,0,0,0,0,2,17,0.0,0,18,,0,0.0996820918179746,123
21.63,21.63,30,0,0,0,0,7,18,0.0,0,19,,0,0.08576489601717459,123
20.099999999999998,20.099999999999998,30,0,0,0,0,20,19,0.0,0,20,,0,0.07379076075438468,123
21.61,21.61,30,0,0,0,0,9,20,0.0,0,21,,0,0.06348840406243188,123
20.07,20.07,30,0,0,0,0,2,21,0.0,0,22,,0,0.05462441922520914,123
22.41,22.41,30,0,0,0,1,4,22,0.0,0,23,,0,0.046997986793891174,123
22.41,22.41,30,0,0,0,1,4,23,0.0,0,24,,0,0.04043632488927963,123
21.450000000000003,21.450000000000003,30,0,0,0,0,5,24,0.0,0,25,,0,0.03479077471386296,123
21.65,21.65,30,0,0,0,0,5,25,0.0,0,26,,0,0.029933432588273214,123
21.46,21.46,30,0,0,0,0,4,26,0.0,0,27,,0,0.025754252208694463,123
21.46,21.46,30,0,0,0,0,4,27,0.0,0,28,,0,0.022158551474944856,123
21.66,21.66,30,0,0,0,0,4,28,0.0,0,29,,0,0.019064867404770626,123
24.419999999999998,24.419999999999998,30,0,0,0,0,8,29,0.0,0,30,,0,0.0164031105360144,123
23.77,23.77,30,0,0,0,1,8,30,0.0,0,31,,0,0.014112977003416188,123
21.46,21.46,30,0,0,0,0,4,31,0.0,0,32,,0,0.012142582314594924,123
21.46,21.46,30,0,0,0,0,4,32,0.0,0,33,,0,0.010447285872500434,123
22.23,22.23,30,0,0,0,0,7,33,0.0,0,34,,0,0.01,123
23.82,23.82,30,0,0,0,0,8,34,0.0,0,35,,0,0.01,123
19.860000000000003,19.860000000000003,30,0,0,0,0,4,35,0.0,0,36,,0,0.01,123
21.66,21.66,30,0,0,0,0,4,36,0.0,0,37,,0,0.01,123
12.67,12.67,14,0,0,0,0,1,37,0.0,0,38,,0,0.01,123
23.63,23.63,30,0,0,0,0,7,38,0.0,0,39,,0,0.01,123
14.67,14.67,6,0,0,0,0,1,39,0.0,0,40,,0,0.01,123
14.67,14.67,6,0,0,0,0,1,40,0.0,0,41,,0,0.01,123
23.43,23.43,30,0,0,0,0,7,41,0.0,0,42,,0,0.01,123
22.04,22.04,30,0,0,0,0,6,42,0.0,0,43,,0,0.01,123
23.240000000000002,23.240000000000002,30,0,0,0,0,6,43,0.0,0,44,,0,0.01,123
24.18,24.18,30,0,0,0,0,12,44,0.0,0,45,,0,0.01,123
19.85,19.85,30,0,0,0,0,5,45,0.0,0,46,,0,0.01,123
22.83,22.83,30,0,0,0,0,7,46,0.0,0,47,,0,0.01,123
23.73,23.73,30,0,0,0,2,7,47,0.0,0,48,,0,0.01,123
20.98,20.98,30,0,0,0,1,7,48,0.0,0,49,,0,0.01,123
21.63,21.63,30,0,0,0,0,7,49,0.0,0,50,,0,0.01,123
