success,rewards,steps,resources,epsilon,first_success
0,-23.83,24,2,0.26599605315039226,28
0,-27.199999999999996,24,0,0.23584633430528767,28
0,-25.81,24,1,0.20911398025064834,28
0,-26.199999999999996,24,1,0.18541164468413848,28
0,-26.2,24,0,0.1643958856470125,28
0,-24.439999999999998,24,2,0.1457621891208952,28
0,-27.599999999999998,24,0,0.12924055668239726,28
0,-26.4,24,1,0.11459159328159076,28
0,-24.599999999999998,24,2,0.10160303845706052,28
0,-27.199999999999996,24,0,0.1,28
0,-27.209999999999997,24,0,0.1,28
0,-27.599999999999998,24,0,0.1,28
0,-27.599999999999998,24,0,0.1,28
0,-27.2,24,0,0.1,28
0,-26.199999999999996,24,1,0.1,28
0,-27.4,24,0,0.1,28
0,-27.009999999999998,24,0,0.1,28
0,-26.209999999999997,24,1,0.1,28
0,-27.599999999999998,24,0,0.1,28
0,-23.639999999999997,24,3,0.1,28
0,-27.599999999999998,24,0,0.1,28
0,-27.599999999999998,24,0,0.1,28
0,-27.4,24,0,0.1,28
0,-21.490000000000002,24,4,0.1,28
0,-23.09,24,2,0.1,28
0,-27.599999999999998,24,0,0.1,28
0,-27.2,24,0,0.1,28
1,36.10000000000001,18,2,0.1,28
0,-26.22,24,1,0.1,28
0,-27.4,24,0,0.1,28
1,34.800000000000004,16,2,0.1,28
0,-27.4,24,0,0.1,28
0,-22.459999999999997,24,3,0.1,28
0,-20.04,24,5,0.1,28
1,36.300000000000004,6,1,0.1,28
0,-26.71,24,1,0.1,28
0,-26.4,24,2,0.1,28
1,37.64000000000001,13,4,0.1,28
0,-25.43,24,1,0.1,28
0,-22.859999999999996,24,3,0.1,28
1,33.540000000000006,17,0,0.1,28
0,-24.099999999999998,24,2,0.1,28
0,-25.09,24,1,0.1,28
1,38.18000000000001,8,3,0.1,28
0,-25.459999999999997,24,0,0.1,28
1,36.63,18,2,0.1,28
0,-22.22,24,3,0.1,28
0,-23.009999999999998,24,2,0.1,28
0,-25.61,24,1,0.1,28
1,36.09,18,2,0.1,28
1,33.24,21,0,0.1,28
0,-25.0,24,1,0.1,28
1,36.39000000000001,24,2,0.1,28
1,36.09,10,1,0.1,28
1,36.300000000000004,6,1,0.1,28
0,-24.0,24,1,0.1,28
1,34.63,13,0,0.1,28
0,-26.41,24,0,0.1,28
1,35.82000000000001,21,2,0.1,28
0,-21.029999999999998,24,4,0.1,28
1,34.120000000000005,19,0,0.1,28
1,34.120000000000005,19,0,0.1,28
1,35.690000000000005,8,1,0.1,28
1,36.790000000000006,12,2,0.1,28
1,35.150000000000006,7,0,0.1,28
1,35.84,9,1,0.1,28
0,-19.86,24,5,0.1,28
1,35.300000000000004,6,0,0.1,28
1,36.300000000000004,6,1,0.1,28
1,34.89000000000001,14,0,0.1,28
1,34.650000000000006,17,1,0.1,28
1,35.790000000000006,16,1,0.1,28
1,35.49,14,1,0.1,28
0,-21.9,24,3,0.1,28
0,-24.05,24,1,0.1,28
1,36.82000000000001,13,2,0.1,28
1,37.080000000000005,10,2,0.1,28
1,35.39000000000001,20,1,0.1,28
1,35.190000000000005,18,1,0.1,28
0,-25.82,24,1,0.1,28
1,35.39000000000001,12,1,0.1,28
1,35.940000000000005,11,1,0.1,28
