,PGF,I_op
count,1000.0,1000.0
mean,1.485675,0.40919999999999995
std,1.2861364882629842,0.08805176382738232
min,0.1,0.3
25%,0.1,0.3
50%,2.475,0.4
75%,2.475,0.5
max,4.175,0.6499999999999999
