,PGF,I_op
count,500.0,500.0
mean,1.9390500000000004,0.47570000000000007
std,1.2185364210884457,0.08048269956866334
min,0.1,0.3
25%,0.1,0.4499999999999999
50%,2.475,0.5
75%,2.85,0.5
max,3.8,0.6499999999999999
