,PGF,I_op
count,500.0,500.0
mean,1.9278500000000003,0.4707
std,1.2495602944070836,0.08408716491002187
min,0.1,0.3
25%,0.1,0.4499999999999999
50%,2.475,0.5
75%,2.85,0.5
max,4.55,0.7
