,PGF,I_op
count,1000.0,1000.0
mean,1.206475,0.421
std,1.2485622159035497,0.08237588109262192
min,0.1,0.3
25%,0.1,0.35
50%,0.1,0.4499999999999999
75%,2.475,0.5
max,4.175,0.7
