,PGF,I_op
count,500.0,500.0
mean,2.0497,0.4804999999999999
std,1.1903376484993111,0.07840308723625848
min,0.1,0.3
25%,0.1,0.4499999999999999
50%,2.475,0.5
75%,2.85,0.55
max,5.125,0.7
