,PGF,I_op
count,1000.0,1000.0
mean,1.7939500000000004,0.396
std,1.3185406504719326,0.08090454588924868
min,0.1,0.3
25%,0.1,0.35
50%,2.475,0.4
75%,2.85,0.45
max,4.55,0.6499999999999999
