,PGF,I_op
count,500.0,500.0
mean,1.8542000000000003,0.4714999999999999
std,1.2608436911954053,0.07896341203925883
min,0.1,0.3
25%,0.1,0.4499999999999999
50%,2.475,0.5
75%,2.85,0.5
max,4.175,0.7
