Seed,Control_Mean,Control_Std,Control_CV,Simbiosis_Mean,Simbiosis_Std,Simbiosis_CV,Ratio_%,PGF_Mean
42,195.34907,328.37896176513044,168.09855391946857,67.80463517247753,92.88513508980851,136.98935899224685,34.70947426188285,5.418318328746252
123,203.1499,327.21243519276516,161.0694542270339,65.24075378660424,74.74033557452434,114.56080936617047,32.11458818665638,5.430558497767369
456,206.20075,327.11639708852243,158.63977075181464,62.70058532647776,67.16547976269403,107.12097728110173,30.407544747765346,5.447651721079623
