Seed,Simbiosis_Mean,Control_Mean,Ratio,PGF_Bruto
42,57.431661765487874,145.03938,39.59728851949579,5.4911521062104525
123,57.432124143253844,149.24866999999998,38.48082809934176,5.495684690542304
456,56.593360577219045,146.20135000000002,38.70919152061116,5.497143762869837
