episode,success,reward,steps,resources,epsilon
1,0,-25.799999999999997,12,0,0.988065780494209
2,0,-25.799999999999997,12,0,0.9762739865836303
3,0,-25.799999999999997,12,0,0.9646229185299474
4,0,-25.799999999999997,12,0,0.9531108968798944
5,0,-25.799999999999997,12,0,0.9417362622231683
6,0,-25.799999999999997,12,0,0.9304973749532338
7,0,-25.799999999999997,12,0,0.9193926150309796
8,0,-25.799999999999997,12,0,0.9084203817511969
9,0,-25.799999999999997,12,0,0.8975790935118436
10,0,-25.799999999999997,12,0,0.8868671875860644
11,0,-25.799999999999997,12,0,0.8762831198969288
12,0,-25.799999999999997,12,0,0.8658253647948594
13,0,-25.799999999999997,12,0,0.8554924148377159
14,0,-25.799999999999997,12,0,0.8452827805735033
15,0,-25.799999999999997,12,0,0.8351949903256736
16,0,-25.799999999999997,12,0,0.8252275899809898
17,0,-25.799999999999997,12,0,0.8153791427799216
18,0,-25.799999999999997,12,0,0.8056482291095421
19,0,-25.799999999999997,12,0,0.7960334462988972
20,0,-25.799999999999997,12,0,0.7865334084168147
21,0,-25.799999999999997,12,0,0.7771467460721305
22,0,-25.799999999999997,12,0,0.7678721062162944
23,0,-25.799999999999997,12,0,0.7587081519483351
24,0,-25.799999999999997,12,0,0.7496535623221505
25,0,-25.799999999999997,12,0,0.7407070321560997
26,0,-25.799999999999997,12,0,0.7318672718448656
27,0,-25.799999999999997,12,0,0.7231330071735643
28,0,-25.799999999999997,12,0,0.7145029791340722
29,0,-25.799999999999997,12,0,0.7059759437435444
30,0,-25.799999999999997,12,0,0.6975506718651011
31,0,-25.799999999999997,12,0,0.689225949030651
32,0,-25.799999999999997,12,0,0.6810005752658319
33,0,-25.799999999999997,12,0,0.6728733649170395
34,0,-25.799999999999997,12,0,0.6648431464805192
35,0,-25.799999999999997,12,0,0.6569087624334999
36,0,-25.799999999999997,12,0,0.649069069067341
37,0,-25.799999999999997,12,0,0.6413229363226717
38,0,-25.799999999999997,12,0,0.6336692476264985
39,0,-25.799999999999997,12,0,0.6261068997312542
40,0,-25.799999999999997,12,0,0.6186348025557711
41,0,-25.799999999999997,12,0,0.6112518790281489
42,0,-25.799999999999997,12,0,0.6039570649304998
