episode,success,reward,steps,resources,epsilon
1,0,-27.599999999999998,24,0,0.9762739865836303
2,0,-27.599999999999998,24,0,0.9531108968798944
3,0,-27.599999999999998,24,0,0.9304973749532338
4,0,-27.599999999999998,24,0,0.9084203817511969
5,0,-27.599999999999998,24,0,0.8868671875860644
6,0,-27.599999999999998,24,0,0.8658253647948594
7,0,-27.599999999999998,24,0,0.8452827805735033
8,0,-27.599999999999998,24,0,0.8252275899809898
9,0,-27.599999999999998,24,0,0.8056482291095421
10,0,-27.599999999999998,24,0,0.7865334084168147
11,0,-27.599999999999998,24,0,0.7678721062162944
12,0,-27.599999999999998,24,0,0.7496535623221505
13,0,-27.599999999999998,24,0,0.7318672718448656
14,0,-27.599999999999998,24,0,0.7145029791340722
15,0,-27.599999999999998,24,0,0.6975506718651011
16,0,-27.599999999999998,24,0,0.6810005752658319
17,0,-27.599999999999998,24,0,0.6648431464805192
18,0,-27.599999999999998,24,0,0.649069069067341
19,0,-27.599999999999998,24,0,0.6336692476264985
20,0,-27.599999999999998,24,0,0.6186348025557711
21,0,-27.599999999999998,24,0,0.6039570649304998
22,0,-27.599999999999998,24,0,0.5896275715050474
23,0,-27.599999999999998,24,0,0.5756380598328571
24,0,-27.599999999999998,24,0,0.5619804635022894
25,0,-27.599999999999998,24,0,0.5486469074854965
26,0,-27.599999999999998,24,0,0.5356297035976458
27,0,-27.599999999999998,24,0,0.522921346063882
28,0,-27.599999999999998,24,0,0.5105145071914643
29,0,-27.599999999999998,24,0,0.4984020331445882
30,0,-27.599999999999998,24,0,0.4865769398194536
31,0,-27.599999999999998,24,0,0.47503240881720094
32,0,-27.599999999999998,24,0,0.4637617835123936
33,0,-27.599999999999998,24,0,0.452758565214779
34,0,-27.599999999999998,24,0,0.44201640942211684
35,0,-27.599999999999998,24,0,0.43152912216191214
36,0,-27.599999999999998,24,0,0.4212906564199442
37,0,-27.599999999999998,24,0,0.41129510865353336
38,0,-27.599999999999998,24,0,0.4015367153875324
39,0,-27.599999999999998,24,0,0.39200984989108273
40,0,-27.599999999999998,24,0,0.3827090189332178
41,0,-27.599999999999998,24,0,0.3736288596154426
42,0,-27.599999999999998,24,0,0.36476413627946375
43,0,-27.599999999999998,24,0,0.35610973748828684
44,0,-27.599999999999998,24,0,0.34766067307894
45,0,-27.599999999999998,24,0,0.33941207128512485
46,0,-27.599999999999998,24,0,0.33135917592813624
47,0,-27.599999999999998,24,0,0.323497343674428
48,0,-27.599999999999998,24,0,0.3158220413582485
49,0,-27.599999999999998,24,0,0.3083288433677974
50,0,-27.599999999999998,24,0,0.3010134290933992
51,0,-27.599999999999998,24,0,0.2938715804362218
52,0,-27.599999999999998,24,0,0.28689917937610226
53,0,-27.599999999999998,24,0,0.2800922055970794
54,0,-27.599999999999998,24,0,0.2734467341692626
55,0,-27.599999999999998,24,0,0.2669589332857002
56,0,-27.599999999999998,24,0,0.26062506205294395
57,0,-27.599999999999998,24,0,0.2544414683340336
58,0,-27.599999999999998,24,0,0.24840458664265946
59,0,-27.599999999999998,24,0,0.24251093608728802
60,0,-27.599999999999998,24,0,0.23675711836406457
61,0,-27.599999999999998,24,0,0.23113981579733764
62,0,-27.599999999999998,24,0,0.2256557894266728
63,0,-27.599999999999998,24,0,0.22030187713925398
64,0,-27.599999999999998,24,0,0.21507499184659654
65,0,-27.599999999999998,24,0,0.2099721197045186
66,0,-27.599999999999998,24,0,0.20499031837534562
67,0,-27.599999999999998,24,0,0.20012671533134627
68,0,-27.599999999999998,24,0,0.19537850619842073
69,0,-27.599999999999998,24,0,0.19074295313908668
70,0,-27.599999999999998,24,0,0.1862173832738307
71,0,-27.599999999999998,24,0,0.1817991871399145
72,0,-27.599999999999998,24,0,0.17748581718674777
73,0,-27.599999999999998,24,0,0.17327478630695967
74,0,-27.599999999999998,24,0,0.16916366640232217
75,0,-27.599999999999998,24,0,0.1651500869836984
76,0,-27.599999999999998,24,0,0.16123173380420852
77,0,-27.599999999999998,24,0,0.15740634752482532
78,0,-27.599999999999998,24,0,0.15367172241162955
