episode,total_reward,steps,resources_collected,final_resources,goal_reached,death_by_hazard,epsilon,agent_type,economy,balance,spawn_rate,seed
60,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
61,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
62,119.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,42
63,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
64,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
65,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
66,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
67,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
68,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
69,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
70,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
71,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
72,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
73,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
74,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
75,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
76,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
77,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
78,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
79,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
80,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
81,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
82,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
83,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
84,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
85,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
86,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
87,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
88,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
89,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
90,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
91,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
92,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
93,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
94,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
95,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
96,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
97,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
98,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
99,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
100,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
101,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
102,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
103,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
104,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
105,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
106,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
107,116.5,7,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
108,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
109,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
110,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
111,119.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,42
112,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
113,115.80000000000001,14,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
114,91.38499999999999,30,2,185.985,True,False,0.01,PGF,favorable,10.0,0.4,42
115,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
116,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
117,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
118,119.4,8,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,42
119,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
120,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
121,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
122,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
123,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
124,109.00000000000001,22,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
125,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
126,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
127,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
128,119.60000000000001,8,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,42
129,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
130,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
131,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
132,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
133,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
134,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
135,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
136,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
137,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
138,110.60000000000001,8,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
139,119.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,42
140,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
141,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
142,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
143,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
144,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
145,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
146,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
147,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
148,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
149,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
150,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
151,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
152,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
153,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
154,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
155,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
