Agente,Episodio,Recompensa,Tripwires,Flexibilidad,Robustez,Q-optimal,PGF_Bruto_Avg,PGF_Costo_Avg,RiskEffective_Avg,Surprise_Avg,Starvation,GoalReached
control,1,-74.1,0.0,0.5454545454545454,1.0,0.6363636363636364,4.30482616433755,0.21818181818181823,0.41340909090909084,0.07272727272727274,1,0
control,2,-11.199999999999998,0.0,0.5,1.0,0.7407407407407407,5.092592592592593,0.2962962962962963,0.30541072096627647,0.0,0,1
control,3,-71.5,0.0,0.5454545454545454,1.0,0.7272727272727273,4.5775534370648225,0.10909090909090911,0.45772727272727276,0.07272727272727274,1,0
control,4,-59.0,0.0,0.5,1.0,0.7333333333333333,5.5,0.0,0.2748424723424724,0.0,0,0
control,5,-60.6,0.0,0.5,1.0,0.9,5.5,0.0,0.3173214285714286,0.0,0,0
control,6,-62.2,1.0,0.5,1.0,0.8666666666666667,5.285582307576427,0.072,0.3955238095238095,0.03333333333333333,0,0
control,7,-74.5,0.0,0.5192307692307693,1.0,0.8076923076923077,5.032811069527425,0.08076923076923077,0.32262591575091576,0.03076923076923077,1,0
