Agente,Episodio,Recompensa,Tripwires,Flexibilidad,Robustez,Q-optimal,PGF_Bruto_Avg,PGF_Costo_Avg,RiskEffective_Avg,Surprise_Avg,Starvation,GoalReached
control,1,-63.4,0.0,0.5,1.0,0.7333333333333333,5.166666666666667,0.1566666666666667,0.31436838624338626,0.0,0,0
control,2,-74.1,0.0,0.5238095238095238,1.0,0.7142857142857143,4.8263375146530025,0.1285714285714286,0.3134967017109874,0.0380952380952381,1,0
control,3,-60.6,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.2954142616642617,0.0,0,0
control,4,-72.11,0.0,0.75,0.8,0.5,0.9708224596869117,0.6005,0.3423809523809524,0.4,1,0
control,5,-75.1,0.0,0.5192307692307693,1.0,0.7307692307692307,4.878964915681271,0.15000000000000002,0.309454365079365,0.03076923076923077,1,0
