Agente,Episodio,Recompensa,Tripwires,Flexibilidad,Robustez,Q-optimal,PGF_Bruto_Avg,PGF_Costo_Avg,RiskEffective_Avg,Surprise_Avg,Starvation,GoalReached
simbiosis,1,-59.4,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.32222222222222224,0.0,0,0
simbiosis,2,-59.599999999999994,1.0,0.5,1.0,0.8,5.486812263338617,0.0,0.3526805555555556,0.03333333333333333,0,0
simbiosis,3,-57.8,1.0,0.5,1.0,0.7666666666666667,5.486812263338617,0.0,0.25448197173197173,0.03333333333333333,0,0
simbiosis,4,-57.0,0.0,0.5,1.0,1.0,5.5,0.0,0.22280381655381654,0.0,0,0
simbiosis,5,-60.0,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.246875,0.0,0,0
simbiosis,6,-61.6,0.0,0.5,1.0,0.8,5.5,0.0,0.19179250208855472,0.0,0,0
simbiosis,7,-60.8,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.1906150793650794,0.0,0,0
simbiosis,8,-60.0,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.19166666666666668,0.0,0,0
simbiosis,9,-63.0,0.0,0.5,1.0,0.9333333333333333,5.0,0.14999999999999997,0.17464262820512824,0.0,0,0
simbiosis,10,-60.0,0.0,0.5,1.0,1.0,5.5,0.0,0.1908974358974359,0.0,0,0
simbiosis,11,-60.0,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.1908974358974359,0.0,0,0
simbiosis,12,-59.8,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.19102564102564104,0.0,0,0
simbiosis,13,-60.0,0.0,0.5,1.0,1.0,5.5,0.0,0.1908974358974359,0.0,0,0
simbiosis,14,-61.0,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.1893349358974359,0.0,0,0
simbiosis,15,-61.0,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.1821474358974359,0.0,0,0
simbiosis,16,-60.0,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.1908974358974359,0.0,0,0
simbiosis,17,-60.0,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.1908974358974359,0.0,0,0
simbiosis,18,-60.0,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.1908974358974359,0.0,0,0
simbiosis,19,-61.0,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.19027243589743587,0.0,0,0
simbiosis,20,-61.0,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.1874599358974359,0.0,0,0
simbiosis,21,-61.0,0.0,0.5,1.0,1.0,5.5,0.0,0.18652243589743592,0.0,0,0
simbiosis,22,-61.0,0.0,0.5,1.0,1.0,5.5,0.0,0.1874599358974359,0.0,0,0
simbiosis,23,-61.0,0.0,0.5,1.0,1.0,5.5,0.0,0.18245993589743587,0.0,0,0
simbiosis,24,-61.0,0.0,0.5,1.0,1.0,5.5,0.0,0.18964743589743588,0.0,0,0
simbiosis,25,-60.0,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.1908974358974359,0.0,0,0
simbiosis,26,-62.0,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.18222489316239315,0.0,0,0
simbiosis,27,-60.0,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.19249999999999998,0.0,0,0
simbiosis,28,-61.0,0.0,0.5,1.0,1.0,5.5,0.0,0.20052083333333334,0.0,0,0
simbiosis,29,-61.0,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.20395833333333335,0.0,0,0
simbiosis,30,-60.0,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.21333333333333332,0.0,0,0
