episode,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,shaping_scale,spawn_rate,seed,grid_size
1,PGF,21.57,9.070000000000007,1,1,30,False,0,0,0.1720768383829392,0.25,0.25,456,4
2,PGF,23.78,48.779999999999966,1,4,30,False,0,0,0.14805219153934096,0.25,0.25,456,4
3,PGF,20.4,20.4,0,0,30,False,0,0,0.12738176517877567,0.25,0.25,456,4
4,PGF,27.16,77.16,0,4,30,False,0,0,0.10959725709800847,0.25,0.25,456,4
5,PGF,24.900000000000002,-187.59999999999997,10,3,30,False,0,0,0.09429574748433718,0.25,0.25,456,4
6,PGF,20.4,20.4,0,0,30,False,0,0,0.08113057050030371,0.25,0.25,456,4
7,PGF,21.4,33.90000000000002,0,1,30,False,0,0,0.06980346033948207,0.25,0.25,456,4
8,PGF,21.589999999999996,34.09,0,1,30,False,0,0,0.06005779381703479,0.25,0.25,456,4
9,PGF,23.0,48.000000000000014,0,2,30,False,0,0,0.05167277640144891,0.25,0.25,456,4
10,PGF,23.0,23.0,0,0,30,False,0,0,0.04445843996814939,0.25,0.25,456,4
11,PGF,25.060000000000002,62.56,0,3,30,False,0,0,0.03825133894578426,0.25,0.25,456,4
12,PGF,25.05,62.55000000000001,0,3,30,False,0,0,0.032910847348523745,0.25,0.25,456,4
13,PGF,26.050000000000004,76.04999999999998,0,4,30,False,0,0,0.028315972801187538,0.25,0.25,456,4
14,PGF,26.290000000000003,88.78999999999996,0,5,30,False,0,0,0.02436261537682825,0.25,0.25,456,4
15,PGF,25.05,62.550000000000004,0,3,30,False,0,0,0.020961209143920925,0.25,0.25,456,4
16,PGF,28.05,103.05000000000001,0,6,30,False,0,0,0.018034692990847347,0.25,0.25,456,4
17,PGF,22.049999999999997,22.049999999999997,0,0,30,False,0,0,0.015516764755359819,0.25,0.25,456,4
18,PGF,22.05,22.05,0,0,30,False,0,0,0.01335037910517069,0.25,0.25,456,4
19,PGF,23.67,36.170000000000016,0,1,30,False,0,0,0.011486455138157128,0.25,0.25,456,4
20,PGF,30.05,130.05000000000004,0,8,30,False,0,0,0.01,0.25,0.25,456,4
21,PGF,26.05,76.04999999999998,0,4,30,False,0,0,0.01,0.25,0.25,456,4
22,PGF,26.05,76.04999999999998,0,4,30,False,0,0,0.01,0.25,0.25,456,4
23,PGF,28.05,103.05000000000001,0,6,30,False,0,0,0.01,0.25,0.25,456,4
24,PGF,27.05,64.55000000000004,1,5,30,False,0,0,0.01,0.25,0.25,456,4
25,PGF,26.05,76.04999999999998,0,4,30,False,0,0,0.01,0.25,0.25,456,4
26,PGF,25.05,62.54999999999999,0,3,30,False,0,0,0.01,0.25,0.25,456,4
27,PGF,25.05,62.55,0,3,30,False,0,0,0.01,0.25,0.25,456,4
28,PGF,25.060000000000002,62.56,0,3,30,False,0,0,0.01,0.25,0.25,456,4
29,PGF,27.07,89.56999999999996,0,5,30,False,0,0,0.01,0.25,0.25,456,4
30,PGF,26.060000000000002,76.06,0,4,30,False,0,0,0.01,0.25,0.25,456,4
31,PGF,25.05,62.55,0,3,30,False,0,0,0.01,0.25,0.25,456,4
32,PGF,25.91,63.40999999999998,0,3,30,False,0,0,0.01,0.25,0.25,456,4
33,PGF,24.17,49.17000000000001,0,2,30,False,0,0,0.01,0.25,0.25,456,4
34,PGF,24.95,49.95,0,2,30,False,0,0,0.01,0.25,0.25,456,4
35,PGF,25.0,50.0,0,2,30,False,0,0,0.01,0.25,0.25,456,4
36,PGF,23.080000000000002,35.58000000000001,0,1,30,False,0,0,0.01,0.25,0.25,456,4
37,PGF,24.05,49.05,0,2,30,False,0,0,0.01,0.25,0.25,456,4
38,PGF,28.050000000000004,103.04999999999998,0,6,30,False,0,0,0.01,0.25,0.25,456,4
39,PGF,30.939999999999998,130.94,0,8,30,False,0,0,0.01,0.25,0.25,456,4
40,PGF,24.05,49.05000000000001,0,2,30,False,0,0,0.01,0.25,0.25,456,4
41,PGF,25.05,62.550000000000004,0,3,30,False,0,0,0.01,0.25,0.25,456,4
42,PGF,25.05,62.550000000000004,0,3,30,False,0,0,0.01,0.25,0.25,456,4
43,PGF,25.060000000000002,62.56,0,3,30,False,0,0,0.01,0.25,0.25,456,4
44,PGF,25.21,-237.29,12,3,30,False,0,0,0.01,0.25,0.25,456,4
45,PGF,27.0,76.99999999999997,0,4,30,False,0,0,0.01,0.25,0.25,456,4
46,PGF,27.0,77.0,0,4,30,False,0,0,0.01,0.25,0.25,456,4
47,PGF,25.0,50.00000000000001,0,2,30,False,0,0,0.01,0.25,0.25,456,4
48,PGF,27.87,90.36999999999999,0,5,30,False,0,0,0.01,0.25,0.25,456,4
