episode,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,shaping_scale,spawn_rate,seed,grid_size
60,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
61,PGF,113.77,113.77,3,1,17,True,0,0,0.01,0.0,0.4,42,4
62,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
63,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
64,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
65,PGF,20.97,20.97,3,0,30,False,0,0,0.01,0.0,0.4,42,4
66,PGF,115.96,115.96,3,1,6,True,0,0,0.01,0.0,0.4,42,4
67,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
68,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
69,PGF,115.38,115.38,2,2,14,True,0,0,0.01,0.0,0.4,42,4
70,PGF,114.98,114.98,2,0,6,True,0,0,0.01,0.0,0.4,42,4
71,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
72,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
73,PGF,115.97,115.97,3,1,6,True,0,0,0.01,0.0,0.4,42,4
74,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
75,PGF,114.98,114.98,2,0,6,True,0,0,0.01,0.0,0.4,42,4
76,PGF,111.58,111.58,2,0,24,True,0,0,0.01,0.0,0.4,42,4
77,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
78,PGF,116.98,116.98,2,2,6,True,0,0,0.01,0.0,0.4,42,4
79,PGF,115.97,115.97,3,1,6,True,0,0,0.01,0.0,0.4,42,4
80,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
81,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
82,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
83,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
84,PGF,114.37,114.37,3,2,19,True,0,0,0.01,0.0,0.4,42,4
85,PGF,115.97,115.97,3,1,6,True,0,0,0.01,0.0,0.4,42,4
86,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
87,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
88,PGF,117.98,117.98,2,3,6,True,0,0,0.01,0.0,0.4,42,4
89,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
90,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
91,PGF,115.97,115.97,3,1,6,True,0,0,0.01,0.0,0.4,42,4
92,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
93,PGF,114.98,114.98,2,0,6,True,0,0,0.01,0.0,0.4,42,4
94,PGF,114.98,114.98,2,0,6,True,0,0,0.01,0.0,0.4,42,4
95,PGF,116.98,116.98,2,2,6,True,0,0,0.01,0.0,0.4,42,4
96,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
97,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
98,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
99,PGF,114.98,114.98,2,0,6,True,0,0,0.01,0.0,0.4,42,4
100,PGF,114.98,114.98,2,0,6,True,0,0,0.01,0.0,0.4,42,4
101,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
102,PGF,114.98,114.98,2,0,6,True,0,0,0.01,0.0,0.4,42,4
