total_reward_env,total_reward_shaped,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,resources_collected,tripwires_triggered,episode,shaping_scale,stage,episodes_in_stage,success_rate_last_25,epsilon,seed,transition_triggered
24.69,24.69,30,0,0,0,2,0,0,0.0,0,0,,0.8603841919146962,42,0
23.25,23.25,30,0,0,0,1,0,1,0.0,0,1,,0.7402609576967045,42,0
22.53,22.53,30,0,0,0,1,0,2,0.0,0,2,,0.6369088258938781,42,0
24.150000000000002,24.150000000000002,30,0,0,0,2,0,3,0.0,0,3,,0.547986285490042,42,0
24.990000000000002,24.990000000000002,30,0,0,0,3,0,4,0.0,0,4,,0.47147873742168567,42,0
21.87,21.87,30,0,0,0,0,0,5,0.0,0,5,,0.40565285250151817,42,0
21.75,21.75,30,0,0,0,0,0,6,0.0,0,6,,0.34901730169741024,42,0
21.19,21.19,30,0,0,0,0,0,7,0.0,0,7,,0.30028896908517405,42,0
22.75,22.75,30,0,0,0,0,0,8,0.0,0,8,,0.2583638820072446,42,0
22.55,22.55,30,0,0,0,0,0,9,0.0,0,9,,0.22229219984074702,42,0
21.84,21.84,30,0,0,0,1,0,10,0.0,0,10,,0.1912566947289212,42,0
23.13,23.13,30,0,0,0,1,0,11,0.0,0,11,,0.16455423674261854,42,0
23.32,23.32,30,0,0,0,1,0,12,0.0,0,12,,0.14157986400593744,42,0
22.58,22.58,30,0,0,0,1,0,13,0.0,0,13,,0.12181307688414106,42,0
23.75,23.75,30,0,0,0,1,0,14,0.0,0,14,,0.10480604571960442,42,0
21.39,21.39,30,0,0,0,0,0,15,0.0,0,15,,0.09017346495423652,42,0
22.15,22.15,30,0,0,0,0,0,16,0.0,0,16,,0.07758382377679894,42,0
22.39,22.39,30,0,0,0,1,0,17,0.0,0,17,,0.0667518955258533,42,0
22.39,22.39,30,0,0,0,1,0,18,0.0,0,18,,0.05743227569078546,42,0
23.270000000000003,23.270000000000003,30,0,0,0,1,0,19,0.0,0,19,,0.0494138221100385,42,0
21.520000000000003,21.520000000000003,30,0,0,0,0,0,20,0.0,0,20,,0.04251487140556204,42,0
24.33,24.33,30,0,0,0,3,0,21,0.0,0,21,,0.03657912327863173,42,0
23.29,23.29,30,0,0,0,0,0,22,0.0,0,22,,0.03147209942303359,42,0
22.53,22.53,30,0,0,0,0,0,23,0.0,0,23,,0.02707809682994571,42,0
22.15,22.15,30,0,0,0,0,0,24,0.0,0,24,,0.023297566459620722,42,0
25.29,25.29,30,0,0,0,2,0,25,0.0,0,25,0.0,0.020044857891939702,42,0
24.990000000000002,24.990000000000002,30,0,0,0,1,0,26,0.0,0,26,0.0,0.01724627885940145,42,0
21.39,21.39,30,0,0,0,0,0,27,0.0,0,27,0.0,0.014838425699981627,42,0
21.96,21.96,30,0,0,0,0,0,28,0.0,0,28,0.0,0.012766746905164949,42,0
22.6,22.6,30,0,0,0,0,0,29,0.0,0,29,0.0,0.01098430721937979,42,1
126.0,126.0,14,1,0,0,0,0,30,0.25,1,0,0.0,0.010239902030817916,42,0
22.83,25.33,30,0,0,0,1,0,31,0.25,1,1,0.04,0.01,42,0
125.57,125.57,16,1,0,0,0,0,32,0.25,1,2,0.04,0.01,42,0
125.98,128.48,19,1,0,0,1,0,33,0.25,1,3,0.08,0.01,42,0
124.16,124.16,23,1,0,0,0,0,34,0.25,1,4,0.12,0.01,42,0
124.05,124.05,23,1,0,0,0,0,35,0.25,1,5,0.16,0.01,42,0
22.57,22.57,30,0,0,0,0,0,36,0.25,1,6,0.2,0.01,42,0
114.19000000000001,114.19000000000001,23,1,0,0,0,0,37,0.25,1,7,0.2,0.01,42,0
122.94,122.94,29,1,0,0,0,0,38,0.25,1,8,0.24,0.01,42,0
115.39,117.89,22,1,0,0,1,0,39,0.25,1,9,0.28,0.01,42,0
125.99,125.99,14,1,0,0,0,0,40,0.25,1,10,0.32,0.01,42,0
117.98,122.98,14,1,0,0,2,0,41,0.25,1,11,0.36,0.01,42,0
125.99,125.99,14,1,0,0,0,0,42,0.25,1,12,0.4,0.01,42,0
125.98,125.98,14,1,0,0,0,0,43,0.25,1,13,0.44,0.01,42,0
127.19,132.19,18,1,0,0,2,0,44,0.25,1,14,0.48,0.01,42,0
125.99,125.99,14,1,0,0,0,0,45,0.25,1,15,0.52,0.01,42,0
123.79,123.79,25,1,0,0,0,0,46,0.25,1,16,0.56,0.01,42,0
125.99,125.99,14,1,0,0,0,0,47,0.25,1,17,0.6,0.01,42,1
12.590000000000012,12.590000000000012,30,0,0,0,0,0,48,0.5,2,0,0.64,0.01,42,1
116.78,124.28,15,1,0,0,1,0,49,0.75,3,0,0.64,0.01,42,1
125.98,125.98,14,1,0,0,0,0,50,1.0,4,0,0.68,0.01,42,0
