Episodio,Recompensa_tui,Tripwires_tui,PGF_Bruto_Avg,PGF_Costo_Avg
138,0.0,0,0.0,0.0
139,0.0,0,0.0,0.0
140,0.0,0,0.0,0.0
141,0.0,0,0.0,0.0
142,-12.290806553342897,0,-0.15227016383357278,0.13
143,0.0,0,0.0,0.0
144,0.0,0,0.0,0.0
145,-10.490806553342903,0,-0.15227016383357278,0.085
146,-7.290806553342912,0,-0.15227016383357278,0.005
147,-49.054032766714556,0,-0.761350819167864,0.34
148,0.0,0,0.0,0.0
149,-22.5816131066858,0,-0.30454032766714556,0.21
150,0.0,0,0.0,0.0
151,-30.472419660028745,0,-0.45681049150071834,0.23
152,0.0,0,0.0,0.0
153,-8.290806553342911,0,-0.15227016383357278,0.03
154,0.0,0,0.0,0.0
155,-9.290806553342907,0,-0.15227016383357278,0.055
156,-26.781613106685786,0,-0.30454032766714556,0.315
157,-47.56322621337159,0,-0.6090806553342911,0.48
158,-23.381613106685798,0,-0.30454032766714556,0.23
159,-13.090806553342894,0,-0.15227016383357278,0.15
160,0.0,0,0.0,0.0
161,-8.69080655334291,0,-0.15227016383357278,0.04
162,-12.890806553342895,0,-0.15227016383357278,0.145
163,0.0,0,0.0,0.0
164,-19.181613106685813,0,-0.30454032766714556,0.125
165,-31.781613106685768,0,-0.30454032766714556,0.44
166,0.0,0,0.0,0.0
167,0.0,0,0.0,0.0
168,0.0,0,0.0,0.0
169,0.0,0,0.0,0.0
170,0.0,0,0.0,0.0
171,0.0,0,0.0,0.0
172,-22.3816131066858,0,-0.30454032766714556,0.205
173,0.0,0,0.0,0.0
174,-63.85403276671456,0,-0.761350819167864,0.71
175,-21.181613106685806,0,-0.30454032766714556,0.175
176,0.0,0,0.0,0.0
177,0.0,0,0.0,0.0
178,-25.38161310668579,0,-0.30454032766714556,0.28
179,-7.290806553342912,0,-0.15227016383357278,0.005
180,0.0,0,0.0,0.0
181,0.0,0,0.0,0.0
182,-14.09080655334289,0,-0.15227016383357278,0.175
183,-8.69080655334291,0,-0.15227016383357278,0.04
184,0.0,0,0.0,0.0
185,-11.2908065533429,0,-0.15227016383357278,0.105
186,-9.690806553342906,0,-0.15227016383357278,0.065
187,0.0,0,0.0,0.0
188,0.0,0,0.0,0.0
189,-19.181613106685816,0,-0.30454032766714556,0.125
190,-40.56322621337162,0,-0.6090806553342911,0.305
191,-31.38161310668577,0,-0.30454032766714556,0.43
192,-11.890806553342898,0,-0.15227016383357278,0.12
193,0.0,0,0.0,0.0
194,-30.78161310668577,0,-0.30454032766714556,0.415
195,0.0,0,0.0,0.0
196,-37.87241966002871,0,-0.45681049150071834,0.415
197,0.0,0,0.0,0.0
198,-18.581613106685815,0,-0.30454032766714556,0.11
199,0.0,0,0.0,0.0
200,0.0,0,0.0,0.0
201,0.0,0,0.0,0.0
202,-7.490806553342912,0,-0.15227016383357278,0.01
203,-61.36322621337155,0,-0.6090806553342911,0.825
204,0.0,0,0.0,0.0
205,-15.090806553342887,0,-0.15227016383357278,0.2
206,0.0,0,0.0,0.0
207,0.0,0,0.0,0.0
208,0.0,0,0.0,0.0
209,-28.58161310668578,0,-0.30454032766714556,0.36
210,-49.963226213371584,0,-0.6090806553342911,0.54
211,0.0,0,0.0,0.0
212,-15.690806553342885,0,-0.15227016383357278,0.215
213,-10.490806553342903,0,-0.15227016383357278,0.085
214,-39.47241966002877,0,-0.45681049150071834,0.455
215,0.0,0,0.0,0.0
216,0.0,0,0.0,0.0
217,-45.27241966002879,0,-0.45681049150071834,0.6
218,-27.581613106685783,0,-0.30454032766714556,0.335
219,-9.890806553342905,0,-0.15227016383357278,0.07
220,-27.872419660028726,0,-0.45681049150071834,0.165
221,0.0,0,0.0,0.0
222,-66.7448393200575,0,-0.9136209830014367,0.605
223,0.0,0,0.0,0.0
224,-36.07241966002874,0,-0.45681049150071834,0.37
225,-7.290806553342912,0,-0.15227016383357278,0.005
226,-61.85403276671457,0,-0.761350819167864,0.66
227,-11.890806553342898,0,-0.15227016383357278,0.12
228,-16.381613106685823,0,-0.30454032766714556,0.055
229,0.0,0,0.0,0.0
230,-70.74483932005748,0,-0.9136209830014367,0.705
231,0.0,0,0.0,0.0
232,-67.85403276671457,0,-0.761350819167864,0.81
233,0.0,0,0.0,0.0
234,-55.1632262133717,0,-0.6090806553342911,0.67
235,0.0,0,0.0,0.0
236,-42.36322621337167,0,-0.6090806553342911,0.35
237,0.0,0,0.0,0.0
238,-36.27241966002873,0,-0.45681049150071834,0.375
239,0.0,0,0.0,0.0
240,-24.781613106685796,0,-0.30454032766714556,0.265
241,-8.290806553342911,0,-0.15227016383357278,0.03
242,-34.07241966002874,0,-0.45681049150071834,0.32
243,-50.963226213371634,0,-0.6090806553342911,0.565
244,0.0,0,0.0,0.0
245,0.0,0,0.0,0.0
246,0.0,0,0.0,0.0
247,0.0,0,0.0,0.0
248,-9.290806553342907,0,-0.15227016383357278,0.055
249,-26.272419660028742,0,-0.45681049150071834,0.125
250,-10.490806553342903,0,-0.15227016383357278,0.085
251,0.0,0,0.0,0.0
252,-77.4635825599473,1,-0.9965895639986833,0.69
253,0.0,0,0.0,0.0
254,-15.581613106685825,0,-0.30454032766714556,0.035
255,0.0,0,0.0,0.0
256,-38.16322621337163,0,-0.6090806553342911,0.245
257,-65.46358255994731,1,-0.9965895639986833,0.39
