success,rewards,steps,resources,epsilon,first_success
0,-10.800000000000004,54,0,0.1,19
0,-10.030000000000003,54,0,0.1,19
0,-8.310000000000004,50,0,0.1,19
0,-10.800000000000006,54,0,0.1,19
0,-10.640000000000004,54,0,0.1,19
0,-10.800000000000004,54,0,0.1,19
0,-11.800000000000006,60,1,0.1,19
0,-11.40000000000001,60,1,0.1,19
0,-10.610000000000005,54,0,0.1,19
0,-11.000000000000005,54,0,0.1,19
0,-8.220000000000002,54,0,0.1,19
0,-10.200000000000005,54,0,0.1,19
0,-10.420000000000005,60,1,0.1,19
0,-10.800000000000006,54,0,0.1,19
0,-10.200000000000005,54,0,0.1,19
1,41.95,55,1,0.1,19
1,47.59,16,1,0.1,19
0,-8.0,60,1,0.1,19
0,-8.610000000000005,54,0,0.1,19
0,-10.200000000000005,54,0,0.1,19
1,42.95,59,1,0.1,19
0,-9.030000000000001,54,0,0.1,19
1,46.400000000000006,28,1,0.1,19
1,44.550000000000004,47,1,0.1,19
1,46.25000000000001,29,1,0.1,19
1,41.95,63,2,0.1,19
1,45.50000000000001,22,0,0.1,19
1,41.35,49,0,0.1,19
1,40.550000000000004,59,1,0.1,19
0,-8.200000000000003,60,1,0.1,19
1,43.400000000000006,48,1,0.1,19
0,-9.020000000000001,54,0,0.1,19
1,41.550000000000004,49,0,0.1,19
1,46.7,14,0,0.1,19
1,45.95,27,1,0.1,19
1,44.64000000000001,29,0,0.1,19
1,45.25000000000001,29,0,0.1,19
1,42.800000000000004,62,2,0.1,19
1,45.09,26,0,0.1,19
1,46.6,16,0,0.1,19
1,44.550000000000004,31,0,0.1,19
1,42.95,59,1,0.1,19
0,-6.619999999999999,60,1,0.1,19
1,44.150000000000006,49,0,0.1,19
1,42.900000000000006,50,0,0.1,19
1,46.2,24,0,0.1,19
1,41.49000000000001,50,0,0.1,19
1,47.35000000000001,39,2,0.1,19
1,45.900000000000006,42,2,0.1,19
1,46.400000000000006,40,2,0.1,19
1,46.2,20,0,0.1,19
1,46.550000000000004,15,0,0.1,19
1,46.2,20,0,0.1,19
1,47.7,14,1,0.1,19
1,45.7,22,0,0.1,19
1,45.7,22,0,0.1,19
1,42.35000000000001,47,0,0.1,19
1,46.400000000000006,24,1,0.1,19
1,46.400000000000006,20,0,0.1,19
1,48.550000000000004,15,2,0.1,19
1,45.50000000000001,22,0,0.1,19
1,47.60000000000001,16,1,0.1,19
1,43.03000000000001,45,0,0.1,19
1,47.400000000000006,16,1,0.1,19
1,47.7,14,1,0.1,19
1,43.95,39,1,0.1,19
1,46.800000000000004,20,1,0.1,19
1,47.35,23,2,0.1,19
1,44.95,39,1,0.1,19
1,46.75000000000001,31,1,0.1,19
1,46.650000000000006,21,1,0.1,19
1,46.7,14,0,0.1,19
1,45.50000000000001,22,0,0.1,19
1,45.25000000000001,37,1,0.1,19
1,46.150000000000006,19,0,0.1,19
1,45.650000000000006,29,1,0.1,19
1,46.25000000000001,17,0,0.1,19
1,43.75000000000001,63,3,0.1,19
1,42.7,56,1,0.1,19
1,47.7,14,1,0.1,19
1,44.50000000000001,56,1,0.1,19
1,43.300000000000004,46,1,0.1,19
1,44.050000000000004,45,0,0.1,19
1,41.050000000000004,57,1,0.1,19
1,42.25000000000001,45,0,0.1,19
1,45.95,39,2,0.1,19
1,45.7,30,0,0.1,19
1,45.45,29,1,0.1,19
1,43.95,39,1,0.1,19
1,45.2,24,0,0.1,19
1,46.95,19,1,0.1,19
1,45.650000000000006,21,0,0.1,19
1,47.95,19,2,0.1,19
1,43.7,46,1,0.1,19
1,46.7,22,1,0.1,19
1,46.300000000000004,22,0,0.1,19
1,41.35000000000001,49,0,0.1,19
1,46.84,21,1,0.1,19
1,42.150000000000006,49,0,0.1,19
1,40.940000000000005,49,0,0.1,19
1,47.550000000000004,15,1,0.1,19
1,46.67,34,2,0.1,19
1,44.74,35,0,0.1,19
1,45.650000000000006,37,1,0.1,19
1,40.800000000000004,58,1,0.1,19
1,46.95,19,1,0.1,19
1,46.2,24,1,0.1,19
1,43.7,34,0,0.1,19
1,47.25000000000001,21,1,0.1,19
1,41.50000000000001,50,0,0.1,19
1,45.900000000000006,46,2,0.1,19
1,42.35000000000001,49,0,0.1,19
1,41.10000000000001,50,0,0.1,19
1,43.150000000000006,63,2,0.1,19
1,42.50000000000001,50,1,0.1,19
1,40.39000000000001,48,0,0.1,19
1,45.440000000000005,37,2,0.1,19
1,44.95,31,0,0.1,19
1,46.550000000000004,15,0,0.1,19
1,41.300000000000004,50,0,0.1,19
1,45.45,33,0,0.1,19
1,42.2,44,0,0.1,19
1,39.7,54,0,0.1,19
1,46.1,26,0,0.1,19
1,42.45,57,1,0.1,19
1,42.50000000000001,50,0,0.1,19
1,42.550000000000004,63,2,0.1,19
1,43.150000000000006,63,2,0.1,19
1,42.25000000000001,53,1,0.1,19
1,45.400000000000006,28,0,0.1,19
1,48.45,17,2,0.1,19
1,45.00000000000001,32,0,0.1,19
1,45.550000000000004,23,0,0.1,19
1,41.25,51,0,0.1,19
1,43.10000000000001,38,0,0.1,19
1,46.7,30,1,0.1,19
1,42.550000000000004,63,2,0.1,19
1,40.900000000000006,50,0,0.1,19
1,40.60000000000001,58,1,0.1,19
1,46.400000000000006,28,1,0.1,19
1,45.550000000000004,23,0,0.1,19
1,45.150000000000006,27,0,0.1,19
1,42.550000000000004,43,0,0.1,19
1,41.75000000000001,63,2,0.1,19
1,39.550000000000004,59,1,0.1,19
1,47.550000000000004,15,1,0.1,19
1,37.89,54,0,0.1,19
1,44.870000000000005,30,0,0.1,19
1,45.95,19,0,0.1,19
1,42.09,50,0,0.1,19
1,46.300000000000004,18,0,0.1,19
1,40.650000000000006,57,1,0.1,19
1,42.7,56,1,0.1,19
0,-7.199999999999999,54,0,0.1,19
0,-6.800000000000001,54,0,0.1,19
1,48.1,18,2,0.1,19
1,43.300000000000004,70,3,0.1,19
1,41.290000000000006,50,0,0.1,19
1,39.25,63,2,0.1,19
1,43.050000000000004,57,1,0.1,19
1,44.400000000000006,32,0,0.1,19
1,45.050000000000004,29,0,0.1,19
1,43.24,53,1,0.1,19
1,40.45,51,0,0.1,19
1,47.150000000000006,31,2,0.1,19
1,44.50000000000001,30,0,0.1,19
1,43.75000000000001,49,0,0.1,19
1,44.150000000000006,31,0,0.1,19
1,46.7,14,0,0.1,19
1,42.900000000000006,56,1,0.1,19
1,45.75000000000001,27,0,0.1,19
1,45.7,22,0,0.1,19
0,-7.199999999999999,54,0,0.1,19
1,44.75000000000001,31,0,0.1,19
1,38.550000000000004,67,2,0.1,19
1,42.10000000000001,64,2,0.1,19
1,44.85000000000001,45,2,0.1,19
0,-9.200000000000001,54,0,0.1,19
1,41.95,47,0,0.1,19
1,45.25000000000001,37,2,0.1,19
1,44.400000000000006,36,0,0.1,19
1,41.050000000000004,57,1,0.1,19
