Episodio,Recompensa_control,Tripwires_control,PGF_Bruto_Avg,PGF_Costo_Avg
408,-5.0,0,-0.15227016383357278,0.22
409,0.0,0,0.0,0.0
410,0.0,0,0.0,0.0
411,0.0,0,0.0,0.0
412,0.0,0,0.0,0.0
413,0.0,0,0.0,0.0
414,-75.0,1,-1.148859727832256,0.43
415,-5.0,0,-0.15227016383357278,0.02
416,-20.0,0,-0.6090806553342911,0.175
417,-10.0,0,-0.30454032766714556,0.15
418,0.0,0,0.0,0.0
419,-10.0,0,-0.30454032766714556,0.36
420,-5.0,0,-0.15227016383357278,0.09
421,0.0,0,0.0,0.0
422,0.0,0,0.0,0.0
423,0.0,0,0.0,0.0
424,-5.0,0,-0.15227016383357278,0.155
425,0.0,0,0.0,0.0
426,-60.0,1,-0.6920492363315377,1.02
427,0.0,0,0.0,0.0
428,0.0,0,0.0,0.0
429,0.0,0,0.0,0.0
430,-5.0,0,-0.15227016383357278,0.145
431,0.0,0,0.0,0.0
432,-5.0,0,-0.15227016383357278,0.06
433,-5.0,0,-0.15227016383357278,0.105
434,0.0,0,0.0,0.0
435,-5.0,0,-0.15227016383357278,0.16
436,0.0,0,0.0,0.0
437,-10.0,0,-0.30454032766714556,0.345
438,0.0,0,0.0,0.0
439,0.0,0,0.0,0.0
440,0.0,0,0.0,0.0
441,0.0,0,0.0,0.0
442,0.0,0,0.0,0.0
443,-25.0,0,-0.761350819167864,0.62
444,0.0,0,0.0,0.0
445,-5.0,0,-0.15227016383357278,0.085
446,-5.0,0,-0.15227016383357278,0.14
447,0.0,0,0.0,0.0
448,-5.0,0,-0.15227016383357278,0.025
449,0.0,0,0.0,0.0
450,-5.0,0,-0.15227016383357278,0.05
451,0.0,0,0.0,0.0
452,0.0,0,0.0,0.0
453,0.0,0,0.0,0.0
454,0.0,0,0.0,0.0
455,0.0,0,0.0,0.0
456,0.0,0,0.0,0.0
457,0.0,0,0.0,0.0
458,0.0,0,0.0,0.0
459,-10.0,0,-0.30454032766714556,0.09
460,0.0,0,0.0,0.0
461,0.0,0,0.0,0.0
462,0.0,0,0.0,0.0
463,-5.0,0,-0.15227016383357278,0.22
464,0.0,0,0.0,0.0
465,-10.0,0,-0.30454032766714556,0.205
466,-10.0,0,-0.30454032766714556,0.085
467,-15.0,0,-0.45681049150071834,0.335
468,0.0,0,0.0,0.0
469,-10.0,0,-0.30454032766714556,0.21
470,-5.0,0,-0.15227016383357278,0.18
471,-5.0,0,-0.15227016383357278,0.02
472,-10.0,0,-0.30454032766714556,0.23
473,-15.0,0,-0.45681049150071834,0.41
474,0.0,0,0.0,0.0
475,0.0,0,0.0,0.0
476,0.0,0,0.0,0.0
477,-10.0,0,-0.30454032766714556,0.12
478,0.0,0,0.0,0.0
479,0.0,0,0.0,0.0
480,0.0,0,0.0,0.0
481,-5.0,0,-0.15227016383357278,0.15
482,0.0,0,0.0,0.0
483,0.0,0,0.0,0.0
484,0.0,0,0.0,0.0
485,0.0,0,0.0,0.0
486,-5.0,0,-0.15227016383357278,0.195
487,0.0,0,0.0,0.0
488,0.0,0,0.0,0.0
489,0.0,0,0.0,0.0
490,0.0,0,0.0,0.0
491,0.0,0,0.0,0.0
492,-5.0,0,-0.15227016383357278,0.15
493,0.0,0,0.0,0.0
494,-5.0,0,-0.15227016383357278,0.01
495,0.0,0,0.0,0.0
496,-5.0,0,-0.15227016383357278,0.005
497,0.0,0,0.0,0.0
498,0.0,0,0.0,0.0
499,-5.0,0,-0.15227016383357278,0.095
500,0.0,0,0.0,0.0
501,-5.0,0,-0.15227016383357278,0.005
502,0.0,0,0.0,0.0
503,-5.0,0,-0.15227016383357278,0.015
504,-5.0,0,-0.15227016383357278,0.075
505,-10.0,0,-0.30454032766714556,0.015
506,-10.0,0,-0.30454032766714556,0.14
507,0.0,0,0.0,0.0
508,0.0,0,0.0,0.0
509,-5.0,0,-0.15227016383357278,0.22
510,-5.0,0,-0.15227016383357278,0.12
511,0.0,0,0.0,0.0
512,0.0,0,0.0,0.0
513,0.0,0,0.0,0.0
514,-10.0,0,-0.30454032766714556,0.2
515,-15.0,0,-0.45681049150071834,0.475
516,0.0,0,0.0,0.0
517,0.0,0,0.0,0.0
518,-15.0,0,-0.45681049150071834,0.35
519,-5.0,0,-0.15227016383357278,0.08
520,0.0,0,0.0,0.0
521,0.0,0,0.0,0.0
522,0.0,0,0.0,0.0
523,0.0,0,0.0,0.0
