seed,phase,grid_size,episodes,success_rate_total,success_last_100,gate,gate_passed,first_success_episode,convergence_episode
101,4x4,4,500,0.802,0.83,80.0,True,3,-1
101,6x6,6,1000,0.568,0.63,20.0,True,2,-1
101,8x8,8,1000,0.601,0.82,10.0,True,1,-1
